speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2
quagsire,Quagsire,93.6,111.2,112.6,161,2018,MUD_SHOT,AQUA_TAIL,STONE_EDGE
quagsire_shadow,Quagsire (Shadow),93.6,111.2,112.6,161,2018,MUD_SHOT,AQUA_TAIL,STONE_EDGE
corviknight,Corviknight,93.1,106.9,130.6,150,2097,SAND_ATTACK,AIR_CUTTER,PAYBACK
jellicent,Jellicent,92.6,106.6,126.3,156,2102,HEX,SURF,SHADOW_BALL
wigglytuff,Wigglytuff,92.6,115.1,75.5,223,1939,CHARM,ICY_WIND,SWIFT
azumarill,Azumarill,92.3,93.4,134.4,191,2400,BUBBLE,ICE_BEAM,PLAY_ROUGH
empoleon,Empoleon,92.3,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK
forretress,Forretress,92.3,109.7,145.4,128,2044,VOLT_SWITCH,SAND_TOMB,ROCK_TOMB
altaria,Altaria,92,103.4,151.9,138,2168,DRAGON_BREATH,SKY_ATTACK,FLAMETHROWER
forretress_shadow,Forretress (Shadow),91.9,109.7,145.4,128,2044,VOLT_SWITCH,SAND_TOMB,ROCK_TOMB
altaria_shadow,Altaria (Shadow),91.8,103.4,151.9,138,2168,DRAGON_BREATH,SKY_ATTACK,FLAMETHROWER
empoleon_shadow,Empoleon (Shadow),91.7,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK
lickilicky,Lickilicky,91.3,105.7,125.5,160,2124,ROLLOUT,BODY_SLAM,SHADOW_BALL
feraligatr,Feraligatr,91.2,123.8,117.3,125,1818,SHADOW_CLAW,HYDRO_CANNON,ICE_BEAM
corsola_galarian,Corsola (Galarian),90.9,99.3,163,139,2252,ASTONISH,NIGHT_SHADE,POWER_GEM
malamar,Malamar,90.9,117.2,116.5,139,1899,PSYWAVE,SUPER_POWER,FOUL_PLAY
stunfisk,Stunfisk,90.9,101.4,126.6,172,2212,THUNDER_SHOCK,MUD_BOMB,DISCHARGE
annihilape,Annihilape,90.8,123.3,105.2,140,1817,LOW_KICK,RAGE_FIST,CLOSE_COMBAT
medicham,Medicham,90.8,106.9,139.4,141,2103,PSYCHO_CUT,ICE_PUNCH,DYNAMIC_PUNCH
florges,Florges,90.6,120,141.5,110,1870,FAIRY_WIND,CHILLING_WATER,DISARMING_VOICE
guzzlord,Guzzlord,90.5,113.2,66,265,1983,DRAGON_TAIL,BRUTAL_SWING,SLUDGE_BOMB
lapras,Lapras,90.5,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM
sealeo,Sealeo,90.5,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM
talonflame,Talonflame,90.5,121.4,112.6,135,1847,INCINERATE,FLY,BRAVE_BIRD
clodsire,Clodsire,90.4,95,119.7,208,2367,POISON_STING,EARTHQUAKE,STONE_EDGE
