speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore
golbat,Golbat,96.8,117.6,116.2,139,1901,WING_ATTACK,AIR_CUTTER,SHADOW_BALL,100,95.7,96.1,100
seaking,Seaking,95,121.9,108.9,138,1834,PECK,DRILL_RUN,ICY_WIND,97.5,100,88.6,71.4
sealeo,Sealeo,95,108.9,112.8,168,2065,POWDER_SNOW,BODY_SLAM,SURF,98,94.1,89.8,95.2
doublade,Doublade,94.9,122.9,140,106,1825,SHADOW_CLAW,SACRED_SWORD,GYRO_BALL,93.9,96.3,92.8,95.7
golbat_shadow,Golbat (Shadow),94.7,117.6,116.2,139,1901,WING_ATTACK,AIR_CUTTER,SHADOW_BALL,94.4,97.4,97.3,90.6
sealeo_shadow,Sealeo (Shadow),94.7,108.9,112.8,168,2065,POWDER_SNOW,BODY_SLAM,SURF,98.6,96.5,87.1,88.8
swalot,Swalot,94.7,103.4,122.6,171,2169,MUD_SHOT,SLUDGE,ICE_BEAM,92.2,90.6,95.8,95.4
pelipper,Pelipper,94.4,123.2,128.7,115,1825,WING_ATTACK,WEATHER_BALL_WATER,HURRICANE,95.4,96.8,91.2,80.8
dartrix,Dartrix,94,112.4,115.5,154,2001,PECK,BRAVE_BIRD,SEED_BOMB,97.3,97.7,97.9,77.6
skuntank,Skuntank,93.7,121.7,95.1,158,1831,POISON_JAB,CRUNCH,TRAILBLAZE,87.6,86.8,97,84.8
tentacruel,Tentacruel,92.3,108.9,143.5,131,2047,ACID,SCALD,PAYBACK,95,93.9,93.9,72
drifblim,Drifblim,92,119.1,75.7,209,1887,ASTONISH,ICY_WIND,SHADOW_BALL,92.7,90.3,86.4,82.6
amoonguss,Amoonguss,91.9,109.3,105.9,177,2050,ASTONISH,FOUL_PLAY,GRASS_KNOT,93.7,89.8,92.3,85.6
blastoise,Blastoise,91.9,112.1,137.7,130,2008,ROLLOUT,HYDRO_CANNON,SKULL_BASH,89.3,74.8,90.2,82.9
tentacruel_shadow,Tentacruel (Shadow),91.9,108.9,143.5,131,2047,ACID,SCALD,PAYBACK,90.1,85.6,95.2,64.8
cofagrigus,Cofagrigus,91.6,111.7,165.3,109,2013,SHADOW_CLAW,SHADOW_BALL,DARK_PULSE,84.2,67.8,97,71.2
dewgong,Dewgong,91.5,101.9,136.9,157,2192,ICE_SHARD,ICY_WIND,DRILL_RUN,91.7,78,90,89.8
froslass,Froslass,91.5,122.5,114.8,130,1831,POWDER_SNOW,AVALANCHE,SHADOW_BALL,82.5,69.3,100,58.6
galvantula,Galvantula,90.9,138.2,96.4,122,1627,VOLT_SWITCH,DISCHARGE,LUNGE,95.5,92.7,89.1,70.4
amoonguss_shadow,Amoonguss (Shadow),90.8,109.3,105.9,177,2050,ASTONISH,FOUL_PLAY,GRASS_KNOT,85,87.8,94.5,73.3
weezing,Weezing,90.8,117.5,140.2,116,1913,ROLLOUT,SHADOW_BALL,SLUDGE_BOMB,89.1,80,95.8,61.3
slowking_galarian,Slowking (Galarian),90.7,117.3,117.9,138,1910,ACID,PSYSHOCK,SHADOW_BALL,90.4,81.3,93.3,72.2
feraligatr,Feraligatr,90.6,123.8,117.3,125,1818,SHADOW_CLAW,HYDRO_CANNON,ICE_BEAM,92.4,92.4,89.5,58.6
marowak_alolan,Marowak (Alolan),90.6,109.6,148.8,125,2041,FIRE_SPIN,BONE_CLUB,SHADOW_BONE,85.8,71,88.5,94.4
skuntank_shadow,Skuntank (Shadow),90.4,121.7,95.1,158,1831,POISON_JAB,CRUNCH,TRAILBLAZE,83,73.2,93.5,69
gyarados,Gyarados,90.2,130.7,108.5,121,1717,DRAGON_BREATH,AQUA_TAIL,TWISTER,88.9,89.3,84.8,68.8
trevenant_shadow,Trevenant (Shadow),90.2,127.5,104.6,131,1750,SHADOW_CLAW,SHADOW_BALL,FOUL_PLAY,84.7,77.3,94.7,54.9
barbaracle,Barbaracle,90.1,120.9,133,115,1851,FURY_CUTTER,STONE_EDGE,CROSS_CHOP,92.1,86.5,87.9,72
feraligatr_shadow,Feraligatr (Shadow),90,123.8,117.3,125,1818,SHADOW_CLAW,HYDRO_CANNON,ICE_BEAM,85.5,94.1,92.6,48.2
