speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
lunatone,Lunatone,98.7,119.1,108.6,145,1876,PSYWAVE,WEATHER_BALL_ICE,ROCK_SLIDE,99,96.2,100,100,pidgeot:893;toucannon:872;xatu_shadow:841;xatu:713;solrock:565,jellicent:214;dragonair_shadow:216;gyarados_shadow:301;salamence_shadow:311;mew:317
sliggoo,Sliggoo,96.7,114.1,133.8,128,1956,DRAGON_BREATH,BODY_SLAM,DRAGON_PULSE,100,97.2,92,94.7,pidgeot:808;pelipper:718;dragonair:636;mew:628;dragonair_shadow:625,pidgeot_shadow:366;kingdra_shadow:385;gyarados:396;gyarados_shadow:429;drifblim:480
jellicent,Jellicent,95.1,106.6,126.3,156,2102,HEX,SURF,SHADOW_BALL,94.8,87.2,98.6,91.6,lunatone:785;solrock:785;dragonair_shadow:679;xatu:650;kingdra_shadow:628,salamence_shadow:243;oranguru:267;drampa:273;pidgeot:281;drifblim:356
mantine,Mantine,95.1,105.5,166.5,121,2127,WING_ATTACK,TWISTER,WATER_PULSE,96.2,92.6,92.3,96.5,kingdra:661;drifblim:599;kingdra_shadow:590;gyarados_shadow:586;dragonair_shadow:566,dragonite:181;dragonite_shadow:225;mew:317;lugia:338;lunatone:472
cresselia,Cresselia,94.3,93.1,160.7,160,2396,PSYCHO_CUT,GRASS_KNOT,MOONBLAST,92.9,79.7,93.8,96.5,gyarados_shadow:703;kingdra:693;sliggoo:640;dragonair_shadow:618;lunatone:509,xatu_shadow:155;drifloon_shadow:155;drifblim_shadow:253;drifblim:306;mew:352
oranguru,Oranguru,94.2,110.1,130,142,2035,CONFUSION,BRUTAL_SWING,TRAILBLAZE,95.2,90.4,88,95.5,jellicent:732;lunatone:609;solrock:609;gyarados_shadow:602;drifblim:556,vespiquen:299;lugia:318;sliggoo:378;dragonair_shadow:389;toucannon:394
pidgeot,Pidgeot,94.2,116.9,115.5,142,1918,WING_ATTACK,TWISTER,BRAVE_BIRD,94.4,95.2,99.3,80.3,dragonair:774;drampa:774;mew:718;jellicent:718;drifblim:640,lunatone:106;solrock:106;sliggoo:191;toucannon_shadow:247;xatu_shadow:256
regidrago,Regidrago,94.2,121.8,62.7,241,1842,DRAGON_BREATH,DRAGON_ENERGY,VICE_GRIP,96.2,98.1,94.8,78,pelipper:695;solrock:672;dragonair:649;mew:597;lunatone:522,pidgeot_shadow:225;gyarados:252;toucannon_shadow:329;gyarados_shadow:334;xatu_shadow:340
drifblim,Drifblim,94.1,119.1,75.7,209,1887,HEX,ICY_WIND,SHADOW_BALL,99.5,96,95.1,75.3,pelipper:660;jellicent:643;dragonair_shadow:631;xatu:602;lunatone:511,charizard:183;charizard_shadow:243;salamence_shadow:273;xatu_shadow:357;pidgeot:359
goodra,Goodra,94,119.6,134.1,117,1878,DRAGON_BREATH,AQUA_TAIL,THUNDER_PUNCH,95.7,92.1,88.3,91,xatu:782;toucannon:782;xatu_shadow:764;dodrio:739;pelipper:726,cresselia:250;gyarados:342;dragonair_shadow:358;kingdra_shadow:385;lunatone:431
solrock,Solrock,94,119.1,108.6,145,1876,PSYWAVE,WEATHER_BALL_FIRE,ROCK_SLIDE,94.4,94,93.8,91,pidgeot:893;xatu:713;toucannon:706;dodrio:700;xatu_shadow:651,jellicent:214;dragonair_shadow:216;gyarados_shadow:301;mew:317;lunatone:434
