speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
registeel,Registeel,97.7,,,,,LOCK_ON,FOCUS_BLAST,ZAP_CANNON,93.7,74.2,100,100,bastiodon:846;walrein:826;azumarill:700;ninetales_alolan:684;sableye:557,nidoqueen_shadow:374;trevenant:381;medicham:383;stunfisk_galarian:443;deoxys_defense:454
trevenant,Trevenant,95.7,,,,,SHADOW_CLAW,SEED_BOMB,SHADOW_BALL,100,100,91.2,82.4,deoxys_defense:904;medicham:858;azumarill:843;sableye:583;stunfisk_galarian:507,scrafty:299;araquanid:406;walrein:450;nidoqueen_shadow:460;altaria:466
stunfisk_galarian,Stunfisk (Galarian),95.3,,,,,MUD_SHOT,ROCK_SLIDE,EARTHQUAKE,97.3,93.9,91.7,98.6,bastiodon:917;nidoqueen_shadow:893;ninetales_alolan:760;deoxys_defense:642;registeel:556,medicham:190;walrein:379;azumarill:392;sableye:455;trevenant:492
swampert,Swampert,93.7,,,,,MUD_SHOT,HYDRO_CANNON,EARTHQUAKE,98.6,89.2,86.3,79.6,nidoqueen_shadow:827;stunfisk_galarian:768;sableye:731;deoxys_defense:625;azumarill:533,trevenant:248;scrafty:311;medicham:334;lickitung:450;walrein:460
medicham,Medicham,93.3,,,,,COUNTER,ICE_PUNCH,PSYCHIC,97,92.8,87.9,91.2,bastiodon:841;stunfisk_galarian:809;walrein:679;swampert:665;azumarill:503,ninetales_alolan:333;sableye:354;deoxys_defense:382;skarmory:409;nidoqueen_shadow:442
swampert_shadow,Swampert (Shadow),93.2,,,,,MUD_SHOT,HYDRO_CANNON,EARTHQUAKE,98.2,94.5,89,61.7,registeel:904;nidoqueen_shadow:794;stunfisk_galarian:746;sableye:687;walrein:577,trevenant:316;deoxys_defense:341;azumarill:400;mandibuzz:400;medicham:478
lickitung,Lickitung,92.9,,,,,LICK,BODY_SLAM,POWER_WHIP,93.2,94.8,86.8,89.4,trevenant:674;azumarill:663;sableye:609;walrein:581;swampert:549,stunfisk_galarian:372;nidoqueen_shadow:399;medicham:415;ninetales_alolan:420;registeel:484
scrafty,Scrafty,92.6,,,,,COUNTER,FOUL_PLAY,POWER_UP_PUNCH,97.4,86.3,81.6,93.4,stunfisk_galarian:893;bastiodon:841;walrein:705;trevenant:700;swampert:688,azumarill:247;medicham:338;deoxys_defense:382;sableye:475;registeel:496
altaria,Altaria,91.9,,,,,DRAGON_BREATH,SKY_ATTACK,MOONBLAST,92.8,80.3,91.5,91,swampert:709;scrafty:683;deoxys_defense:665;medicham:599;sableye:529,stunfisk_galarian:360;registeel:365;azumarill:378;skarmory:434;lickitung:475
bastiodon,Bastiodon,91.9,,,,,SMACK_DOWN,STONE_EDGE,FLAMETHROWER,86.2,52.6,88.8,98.2,skarmory:851;ninetales_alolan:775;mandibuzz:757;sableye:583;walrein:510,medicham:158;deoxys_defense:270;trevenant:400;azumarill:428;nidoqueen_shadow:467
lanturn,Lanturn,91,,,,,SPARK,SURF,THUNDERBOLT,93.5,81.2,86.5,91.4,walrein:904;skarmory:894;azumarill:701;sableye:512;medicham:507,stunfisk_galarian:236;swampert:264;nidoqueen_shadow:406;registeel:430;deoxys_defense:484
machamp_shadow,Machamp (Shadow),89.8,,,,,COUNTER,CROSS_CHOP,ROCK_SLIDE,94.7,88.1,87.9,67.3,registeel:911;stunfisk_galarian:875;bastiodon:830;walrein:754;sableye:657,swampert:334;medicham:341;azumarill:371;nidoqueen_shadow:406;araquanid:451
runerigus,Runerigus,89.8,,,,,SHADOW_CLAW,SAND_TOMB,SHADOW_BALL,96.1,92.4,84.8,86.2,medicham:882;nidoqueen_shadow:882;deoxys_defense:816;stunfisk_galarian:547;swampert:547,walrein:264;sableye:334;trevenant:370;azumarill:421;scrafty:427
diggersby,Diggersby,89.7,,,,,MUD_SHOT,FIRE_PUNCH,EARTHQUAKE,92.8,90.1,88.5,90.5,nidoqueen_shadow:856;trevenant:730;stunfisk_galarian:687;deoxys_defense:625;sableye:616,medicham:197;swampert:231;azumarill:326;walrein:359;scrafty:393
nidoqueen_shadow,Nidoqueen (Shadow),89.7,,,,,POISON_JAB,POISON_FANG,EARTH_POWER,94.4,80.7,79.9,71.3,ninetales_alolan:744;azumarill:737;scrafty:737;medicham:557;trevenant:539,stunfisk_galarian:106;sableye:306;deoxys_defense:397;walrein:424;altaria:496
sneasler,Sneasler,89.3,,,,,SHADOW_CLAW,CLOSE_COMBAT,X_SCISSOR,97.9,91,87.7,59,registeel:854;bastiodon:840;stunfisk_galarian:813;walrein:768;medicham:540,swampert:349;azumarill:407;deoxys_defense:418;sableye:479;talonflame:492
azumarill,Azumarill,89.2,,,,,BUBBLE,PLAY_ROUGH,HYDRO_PUMP,86.3,68,91.2,91.4,talonflame:773;scrafty:752;sableye:705;mandibuzz:681;stunfisk_galarian:607,walrein:359;deoxys_defense:403;swampert:466;medicham:496;ninetales_alolan:496
araquanid,Araquanid,89.1,,,,,BUG_BITE,BUG_BUZZ,BUBBLE_BEAM,92.3,87.2,80.1,93.6,walrein:755;swampert:710;medicham:624;sableye:590;azumarill:560,bastiodon:333;nidoqueen_shadow:341;mandibuzz:400;stunfisk_galarian:452;ninetales_alolan:488
