speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
cradily,Cradily,98.9,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT,100,100,97.8,91,qwilfish_shadow:715;zapdos_shadow:711;toxtricity:625;kingdra_shadow:607;kingdra:600,empoleon_shadow:102;dewott_shadow:208;golisopod:226;palkia_shadow:305;blaziken_shadow:306
jumpluff,Jumpluff,95.1,96.7,156.9,153,2323,FAIRY_WIND,ENERGY_BALL,ACROBATICS,88.6,76.2,93.9,100,samurott_hisuian:866;palkia_shadow:800;kingdra:735;dewott_shadow:732;kingdra_shadow:660,abomasnow:97;abomasnow_shadow:97;blaziken:130;ninetales_shadow:234;toxtricity:266
araquanid,Araquanid,94.6,97.4,174,136,2306,INFESTATION,WATER_PULSE,MIRROR_COAT,92.2,77.5,92.7,95.8,ninetales_shadow:738;kingdra_shadow:683;qwilfish_shadow:680;victreebel_mega:654;charizard_mega_x:610,togedemaru:108;toxtricity:131;pelipper:143;emolga:144;zapdos_shadow:191
turtonator,Turtonator,93.9,113.5,153.6,113,1971,INCINERATE,BRUTAL_SWING,DRAGON_CLAW,93,91.1,91.9,95.3,emolga:787;victreebel_mega:778;ninetales_shadow:712;toxtricity:575;zapdos_shadow:575,kingdra_shadow:122;charizard_mega_x:127;palkia_shadow:165;gyarados_shadow:165;kingdra:241
kingdra,Kingdra,93.7,121.8,127.9,118,1839,DRAGON_BREATH,SURF,SWIFT,95,96.6,88.8,86.1,ninetales_shadow:834;turtonator:758;qwilfish_shadow:754;emolga:644;charizard_mega_x:614,morpeko_full_belly:233;jumpluff:264;cradily:399;togedemaru:429;toxtricity:440
kingdra_shadow,Kingdra (Shadow),93.4,121.8,127.9,118,1839,DRAGON_BREATH,SURF,SWIFT,96.1,99,87.5,74.2,ninetales_shadow:817;dewott_shadow:766;qwilfish_shadow:699;charizard_mega_x:614;toxtricity:525,togedemaru:154;abomasnow_shadow:255;bellossom_shadow:285;zapdos_shadow:325;victreebel_mega:341
cramorant,Cramorant,93.1,121.2,121.2,126,1852,PECK,DIVE,FLY,88.6,70,93,96.3,dewott_shadow:821;ninetales_shadow:753;charizard_mega_x:734;blaziken_shadow:734;victreebel_mega:666,togedemaru:195;emolga:224;morpeko_full_belly:233;zapdos_shadow:281;toxtricity:457
toxtricity,Toxtricity,93.1,141.2,95.3,118,1590,ACID,WILD_CHARGE,SWIFT,98.1,83.6,92.1,71.6,zapdos_shadow:843;victreebel_mega:805;emolga:728;charizard_mega_x:690;samurott_hisuian:690,quagsire_shadow:127;politoed_shadow:205;togedemaru:254;blaziken_shadow:306;cradily:375
mantine,Mantine,92.5,105.5,166.5,121,2127,WING_ATTACK,TWISTER,WATER_PULSE,86.7,72,86.8,97.3,victreebel_mega:789;ninetales_shadow:727;blaziken_shadow:714;charizard_mega_x:694;kingdra_shadow:590,togedemaru:79;emolga:112;morpeko_full_belly:118;zapdos_shadow:125;toxtricity:343
cradily_shadow,Cradily (Shadow),92.4,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT,91.2,83.6,94,69.6,ninetales_shadow:697;toxtricity:690;zapdos_shadow:656;kingdra:607;kingdra_shadow:531,barbaracle:147;dewott_shadow:188;qwilfish_shadow:215;victreebel_mega:238;blaziken_shadow:268
toxapex,Toxapex,92,91.9,224.3,118,2433,BITE,BRINE,SLUDGE_WAVE,83.6,60.3,100,84.4,dewott_shadow:716;ninetales_shadow:665;qwilfish_shadow:601;kingdra_shadow:538;toxtricity:533,pawmot:93;morpeko_full_belly:110;togedemaru:154;emolga:236;zapdos_shadow:263
araquanid_shadow,Araquanid (Shadow),91.8,97.4,174,136,2306,INFESTATION,WATER_PULSE,MIRROR_COAT,87.8,68.7,89.6,84.4,ninetales_shadow:691;kingdra:683;blaziken_shadow:628;kingdra_shadow:606;qwilfish_shadow:599,togedemaru:129;toxtricity:156;zapdos_shadow:160;emolga:172;charizard_mega_x:183
lileep,Lileep,91.5,100.8,138.6,151,2111,ACID,GRASS_KNOT,ANCIENT_POWER,91.6,82.8,93.5,79.1,palkia_shadow:758;morpeko_full_belly:735;zapdos_shadow:668;emolga:642;kingdra_shadow:533,magnemite_shadow:116;golisopod:143;dewott_shadow:174;charizard_mega_x:229;blaziken_shadow:231
rillaboom,Rillaboom,91.3,132.4,99.3,129,1696,SCRATCH,DRUM_BEATING,EARTH_POWER,88.4,94.7,82.5,77.9,togedemaru:759;dewott_shadow:682;kingdra:631;qwilfish_shadow:627;kingdra_shadow:589,marowak_alolan:88;turtonator:181;ninetales_shadow:194;toxtricity:233;zapdos_shadow:245
golisopod,Golisopod,90.9,124,134.6,108,1804,FURY_CUTTER,X_SCISSOR,AQUA_JET,85.5,95.6,89.4,69.1,abomasnow:856;cradily:773;palkia_shadow:717;ninetales_shadow:606;kingdra_shadow:550,emolga:148;toxtricity:173;cramorant:178;charizard_mega_x:209;zapdos_shadow:245
