speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
metang,Metang,97.5,108.9,145.8,129,2050,FURY_CUTTER,PSYSHOCK,GYRO_BALL,94.2,92.2,96.9,100,lapras:689;sliggoo:620;milotic:616;barbaracle:596;goodra:507,perrserker:344;shelgon:402;pawniard:407;seaking:420;gyarados:462
barbaracle,Barbaracle,97.1,120.9,133,115,1851,FURY_CUTTER,CROSS_CHOP,STONE_EDGE,97.7,100,100,90.1,lapras:795;pawniard:669;gyarados:608;blastoise:591;seaking:560,goodra:175;shelgon:325;metang:403;sliggoo:460;milotic:488
milotic,Milotic,96.2,113.1,133.8,131,1985,DRAGON_TAIL,AQUA_TAIL,WRAP,95.7,98.8,89.4,91.7,lapras:618;shelgon:526;barbaracle:511;goodra:507;gyarados:507,perrserker:336;pawniard:348;thievul:374;metang:383;seaking:445
pawniard,Pawniard,95.5,131.9,107.7,119,1692,FURY_CUTTER,NIGHT_SLASH,X_SCISSOR,100,93.9,87.9,82.9,milotic:651;lapras:617;goodra:600;metang:592;gyarados:546,barbaracle:330;perrserker:399;dewgong:417;seaking:438;shelgon:487
perrserker,Perrserker,95,128.7,113.3,119,1738,SHADOW_CLAW,CLOSE_COMBAT,TRAILBLAZE,99.8,94.6,97.4,59.6,milotic:663;metang:655;goodra:634;pawniard:600;barbaracle:533,thievul:145;malamar:197;lokix:200;altaria:264;sliggoo:394
seaking,Seaking,94.8,121.9,108.9,138,1834,PECK,DRILL_RUN,ICY_WIND,95.2,98.1,92.5,76.6,lapras:619;metang:579;pawniard:561;milotic:554;shelgon:510,barbaracle:439;perrserker:474;sliggoo:476;goodra:487;gyarados:495
gyarados,Gyarados,94.5,130.7,108.5,121,1717,DRAGON_BREATH,TWISTER,AQUA_TAIL,95.5,97.3,91.2,71.1,shelgon:747;goodra:657;sliggoo:603;metang:537;lapras:512,blastoise:380;barbaracle:391;perrserker:415;pawniard:453;milotic:492
shelgon,Shelgon,94.3,123.2,119,123,1806,DRAGON_BREATH,TWISTER,FLAMETHROWER,93.3,98.2,94.7,69.5,barbaracle:674;metang:597;goodra:577;sliggoo:528;pawniard:512,gyarados:252;lapras:377;perrserker:445;milotic:473;seaking:489
goodra,Goodra,93.8,119.6,134.1,117,1878,DRAGON_BREATH,AQUA_TAIL,THUNDER_PUNCH,89.3,87.2,88.5,91.7,barbaracle:824;samurott:824;blastoise:717;dewott:619;seaking:512,lapras:396;pawniard:399;shelgon:422;metang:492;milotic:492
lapras,Lapras,93.4,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,DRAGON_PULSE,84.7,83.2,97.8,89.8,walrein:675;dewgong:659;shelgon:622;goodra:603;sliggoo:575,barbaracle:204;metang:310;milotic:381;pawniard:382;gyarados:487
sliggoo,Sliggoo,93,114.1,133.8,128,1956,DRAGON_BREATH,BODY_SLAM,DRAGON_PULSE,95.4,90.3,89.7,83.2,perrserker:605;goodra:574;blastoise:546;barbaracle:539;seaking:523,metang:379;lapras:424;pawniard:436;milotic:461;shelgon:471
walrein,Walrein,92.9,112.4,114.9,154,1991,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE,91,76.4,92.3,72.8,shelgon:792;sliggoo:685;metang:646;goodra:590;gyarados:574,barbaracle:273;perrserker:285;lapras:324;pawniard:390;milotic:450
blastoise,Blastoise,92.6,112.1,137.7,130,2008,ROLLOUT,HYDRO_CANNON,SKULL_BASH,87.1,88.9,94.8,74.4,dewgong:696;gyarados:619;seaking:615;walrein:588;lapras:526,goodra:282;pawniard:390;barbaracle:408;milotic:442;metang:492
dondozo,Dondozo,91.6,104.5,109.7,187,2146,WATERFALL,OUTRAGE,LIQUIDATION,83.7,90.5,99.2,75,pawniard:644;thievul:601;perrserker:593;dewgong:553;barbaracle:510,milotic:316;shelgon:329;goodra:333;lapras:368;gyarados:388
thievul,Thievul,91.2,119.8,121.9,127,1856,SUCKER_PUNCH,NIGHT_SLASH,PLAY_ROUGH,92.5,88.3,83.7,74.1,metang:759;lapras:661;milotic:625;goodra:535;shelgon:503,pawniard:214;barbaracle:239;lokix:348;sliggoo:398;blastoise:484
dewgong,Dewgong,91,101.9,136.9,157,2192,ICE_SHARD,ICY_WIND,DRILL_RUN,83.3,81.5,93,89.5,sliggoo:675;shelgon:649;goodra:636;gyarados:601;pawniard:582,perrserker:138;barbaracle:143;milotic:320;lapras:340;metang:372
dewott,Dewott,90.9,124.1,99.7,146,1808,FURY_CUTTER,X_SCISSOR,AQUA_TAIL,88.9,81.8,87.7,86.2,thievul:722;pawniard:582;seaking:565;milotic:537;metang:503,sliggoo:339;gyarados:355;lapras:365;goodra:380;barbaracle:382
sandslash_alolan,Sandslash (Alolan),90.6,115.9,133.2,125,1932,POWDER_SNOW,DRILL_RUN,ICE_PUNCH,90.5,88.1,90.5,83.2,goodra:692;pawniard:679;metang:664;gyarados:632;milotic:524,barbaracle:134;lapras:360;seaking:398;perrserker:457;blastoise:476
kingdra,Kingdra,90.3,121.8,127.9,118,1839,DRAGON_BREATH,SWIFT,SURF,92.2,93.3,84.3,84.6,barbaracle:682;dewgong:584;seaking:572;thievul:559;blastoise:525,lapras:321;milotic:404;metang:434;goodra:487;pawniard:495
malamar,Malamar,90.1,117.2,116.5,139,1899,PSYWAVE,SUPER_POWER,FOUL_PLAY,89.3,90.2,93,64.5,perrserker:802;shelgon:737;lapras:687;goodra:604;gyarados:582,pawniard:84;barbaracle:252;metang:348;sliggoo:449;milotic:496
dragonair,Dragonair,89.7,125.2,112.4,127,1788,DRAGON_BREATH,AQUA_TAIL,WRAP,89.8,86.7,75.7,66.4,altaria:618;shelgon:602;goodra:578;thievul:527;sliggoo:519,lapras:365;pawniard:399;milotic:446;barbaracle:452;metang:476
lokix,Lokix,89.7,132.8,104,122,1687,SUCKER_PUNCH,X_SCISSOR,TRAILBLAZE,80.1,71.4,89,59,perrserker:799;lapras:631;metang:540;goodra:516;milotic:516,pawniard:214;shelgon:288;barbaracle:321;sliggoo:332;gyarados:400
pelipper,Pelipper,89.6,123.2,128.7,115,1825,WING_ATTACK,WEATHER_BALL_WATER,HURRICANE,87.6,82.4,88.5,64,blastoise:604;milotic:595;seaking:591;gyarados:582;perrserker:521,goodra:273;barbaracle:339;pawniard:407;lapras:486;metang:488
altaria,Altaria,89.5,103.4,151.9,138,2168,DRAGON_BREATH,MOONBLAST,FLAMETHROWER,85.4,65.8,95.6,78,metang:742;perrserker:735;goodra:568;pawniard:554;barbaracle:528,sliggoo:285;gyarados:326;shelgon:345;milotic:454;lapras:486
samurott_hisuian,Samurott (Hisuian),89.4,132.6,96.7,132,1694,FURY_CUTTER,SACRED_SWORD,X_SCISSOR,92.3,81.2,91.4,70,perrserker:818;pawniard:655;lapras:647;seaking:511;milotic:507,gyarados:330;metang:333;goodra:333;barbaracle:434;shelgon:455
politoed,Politoed,89.1,114,124.2,139,1970,MUD_SHOT,WEATHER_BALL_WATER,EARTHQUAKE,85.5,87.8,88.7,76,metang:651;pawniard:586;barbaracle:550;dewgong:550;walrein:535,gyarados:314;lapras:321;goodra:401;shelgon:422;milotic:469
zweilous,Zweilous,89.1,120.4,110.2,140,1859,DRAGON_BREATH,BODY_SLAM,DARK_PULSE,91.6,84.9,84.5,65.1,blastoise:710;metang:589;lapras:567;sliggoo:546;goodra:532,pawniard:268;barbaracle:343;gyarados:404;shelgon:479;milotic:496
