speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
steelix,Steelix,95.4,98.4,183.2,126,2273,THUNDER_FANG,PSYCHIC_FANGS,CRUNCH,95.1,90.5,88.7,100,gallade:900;metang_shadow:785;metang:674;electrode_hisuian:654;toxtricity:650,ninetales:250;torkoal:277;gallade_shadow:278;dusknoir_shadow:288;ninetales_shadow:305
dusclops,Dusclops,94.7,102.4,197.6,108,2187,HEX,ICE_PUNCH,SHADOW_PUNCH,95.7,94.9,94.5,87.6,toxtricity:773;metang:722;dusknoir_shadow:689;goodra:625;tinkaton:583,umbreon:221;greninja:265;ninetales_shadow:317;greninja_shadow:321;weezing_galarian_shadow:327
dragonair,Dragonair,94.5,125.2,112.4,127,1788,DRAGON_BREATH,AQUA_TAIL,DRAGON_PULSE,100,93.1,95,68.1,ninetales:791;ninetales_shadow:736;toxtricity:677;dusknoir_shadow:665;greninja_shadow:645,aurorus:176;tinkaton:202;ninetales_alolan:208;weezing_galarian_shadow:250;gallade:264
dragonair_shadow,Dragonair (Shadow),94.5,125.2,112.4,127,1788,DRAGON_BREATH,WRAP,AQUA_TAIL,99.1,100,90.1,62.7,ninetales:736;ninetales_shadow:720;dusknoir:665;goodra:641;dusknoir_shadow:641,weezing_galarian:86;tinkaton:226;metang:310;metang_shadow:333;weezing_galarian_shadow:383
tinkaton,Tinkaton,94.2,106.2,140.9,141,2110,FAIRY_WIND,GIGATON_HAMMER,BULLDOZE,96.4,86.9,100,98.6,gallade:911;gallade_shadow:868;goodra:801;dragonair:797;dragonair_shadow:773,charizard:89;charizard_shadow:132;blaziken:172;ninetales:230;ninetales_shadow:261
goodra,Goodra,94,119.6,134.1,117,1878,DRAGON_BREATH,AQUA_TAIL,THUNDER_PUNCH,97.7,94.6,89.9,77.5,ninetales:786;ninetales_shadow:773;greninja_shadow:683;steelix:653;electrode_hisuian:602,tinkaton:198;ninetales_alolan:204;ninetales_alolan_shadow:228;gallade_shadow:264;dragonair_shadow:358
swalot,Swalot,94,103.4,122.6,171,2169,MUD_SHOT,SLUDGE,ICE_BEAM,93.3,90.5,97,84.6,toxtricity:856;raikou:719;dragonair_shadow:675;weezing_galarian_shadow:637;dragonair:532,aurorus_shadow:259;metang:279;steelix:281;ninetales:337;ninetales_shadow:369
dusclops_shadow,Dusclops (Shadow),93,102.4,197.6,108,2187,HEX,ICE_PUNCH,SHADOW_PUNCH,94.9,94.4,92.6,76.8,dusknoir:689;metang:675;dusknoir_shadow:606;goodra:601;dragonair_shadow:592,tinkaton:297;ninetales:317;greninja:321;aurorus:326;ninetales_shadow:333
steelix_shadow,Steelix (Shadow),92.8,98.4,183.2,126,2273,THUNDER_FANG,PSYCHIC_FANGS,CRUNCH,93.6,86.6,88.3,94.9,metang:785;weezing_galarian_shadow:773;toxtricity:734;electrode_hisuian:698;metang_shadow:638,marowak_alolan_shadow:240;marowak_alolan:256;ninetales_shadow:257;gallade:278;ninetales:305
dusknoir,Dusknoir,92.7,119.8,174.1,90,1878,ASTONISH,DYNAMIC_PUNCH,SHADOW_PUNCH,96.2,88.5,87.7,71.3,gallade_shadow:861;marowak_alolan:761;metang:683;metang_shadow:650;goodra:588,tyranitar:179;greninja_shadow:239;ninetales:253;ninetales_shadow:281;dragonair_shadow:334
dusknoir_shadow,Dusknoir (Shadow),92.6,119.8,174.1,90,1878,ASTONISH,DYNAMIC_PUNCH,SHADOW_PUNCH,96.4,90,83.1,64.5,gallade:861;gallade_shadow:838;tinkaton:688;metang:650;goodra:605,greninja:239;greninja_shadow:243;ninetales:281;dragonair:334;ninetales_shadow:337
metang_shadow,Metang (Shadow),92.5,108.9,145.8,129,2050,FURY_CUTTER,PSYSHOCK,GYRO_BALL,89.2,96.7,93.1,73.6,toxtricity:817;dragonair:689;dragonair_shadow:666;aurorus:631;goodra:627,charizard:89;machoke_shadow:136;ninetales_shadow:138;blaziken:163;charizard_shadow:175
metang,Metang,92.2,108.9,145.8,129,2050,FURY_CUTTER,PSYSHOCK,GYRO_BALL,92,92.6,93.6,82.3,toxtricity:868;electrode_hisuian:868;dragonair_shadow:689;gallade:631;dragonair:608,blaziken:88;charizard_shadow:89;charizard:89;gengar:102;ninetales:261
charjabug_shadow,Charjabug (Shadow),91.6,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,DISCHARGE,90.8,99.8,86.1,58.8,greninja_shadow:884;gallade_shadow:797;gallade:714;electrode_hisuian:694;tinkaton:567,flygon:84;flygon_shadow:104;ninetales:194;dragonair_shadow:220;ninetales_shadow:226
charjabug,Charjabug,91.5,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,DISCHARGE,91.3,94.7,89,72.5,gallade:738;gallade_shadow:714;greninja_shadow:682;electrode_hisuian:615;tinkaton:607,flygon_shadow:84;ninetales_shadow:194;steelix:269;dragonair:346;ninetales:349
greedent,Greedent,91.5,106.8,110.7,177,2094,MUD_SHOT,BODY_SLAM,TRAILBLAZE,89.9,94.6,88.2,79.6,weezing_galarian_shadow:663;dusknoir:596;greninja_shadow:593;dragonair_shadow:564;tinkaton:559,machamp_shadow:100;dragonite:243;gallade:274;machoke_shadow:286;gallade_shadow:350
lapras,Lapras,91.3,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,91,93.6,92.4,69.1,dragonair:779;ninetales:731;dusknoir_shadow:611;goodra:603;dragonair_shadow:572,tyranitar_shadow:100;tyranitar:100;electrode_hisuian:169;raikou:185;gallade:187
umbreon,Umbreon,91.3,90.2,177,156,2492,SNARL,FOUL_PLAY,LAST_RESORT,91.5,84.1,91.8,90.8,marowak_alolan:730;metang:673;dusknoir:663;dragonair_shadow:637;dragonair:618,machoke_shadow:76;scyther_shadow:128;tinkaton:244;ninetales_shadow:333;ninetales:416
marowak_alolan,Marowak (Alolan),91.2,109.6,148.8,125,2041,FIRE_SPIN,BONE_CLUB,SHADOW_BONE,94.2,84.8,89.2,79.6,toxtricity:844;tinkaton:756;metang:740;gallade_shadow:708;ninetales:592,greninja:160;gyarados_shadow:177;greninja_shadow:213;dusknoir:238;dusknoir_shadow:277
