speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
galvantula,Galvantula,97.9,138.2,96.4,122,1627,FURY_CUTTER,LUNGE,CROSS_POISON,100,96.5,99.4,97.7,electrode_hisuian:696;golem_alolan:651;pawmot:627;minun:602;bellibolt:598,magnezone:313;toxtricity:385;togedemaru:387;rotom:419;zapdos_shadow:482
galvantula_shadow,Galvantula (Shadow),95.1,138.2,96.4,122,1627,FURY_CUTTER,LUNGE,CROSS_POISON,97.4,100,96.7,75,pawmot:799;electrode_hisuian:659;golem_alolan:594;minun:577;bellibolt:561,graveler_alolan:198;graveler_alolan_shadow:230;togedemaru:312;toxtricity:411;magnemite_shadow:466
electrode_hisuian,Electrode (Hisuian),93,123.2,128.7,115,1825,THUNDER_SHOCK,ENERGY_BALL,SWIFT,87,77.2,89.7,100,golem_alolan:813;pawmot:760;minun:669;bellibolt:539;ampharos:530,galvantula:303;eelektross:313;toxtricity:317;rotom:466;plusle:488
rotom,Rotom,91.5,132.4,120.4,106,1691,ASTONISH,THUNDERBOLT,OMINOUS_WIND,84.6,80.3,94.9,88.2,pawmot:768;minun:584;galvantula:580;lanturn:570;electrode_hisuian:533,ampharos:329;bellibolt:334;golem_alolan:380;toxtricity:389;eelektross:416
toxtricity,Toxtricity,91,141.2,95.3,118,1590,ACID,WILD_CHARGE,POWER_UP_PUNCH,93.7,85.4,88.1,86.8,pawmot:809;lanturn:728;electrode_hisuian:682;minun:656;galvantula:614,luxray_shadow:231;togedemaru:266;magnezone:274;golem_alolan:346;bellibolt:363
bellibolt,Bellibolt,90.6,115,110.1,154,1953,SUCKER_PUNCH,ZAP_CANNON,PARABOLIC_CHARGE,81.2,71.5,92,87.6,rotom:665;ampharos:655;toxtricity:636;lanturn:551;golem_alolan:548,pawmot:200;galvantula:401;electrode_hisuian:460;luxray_shadow:474;minun:488
minun,Minun,88.3,116.3,127,130,1922,QUICK_ATTACK,SWIFT,GRASS_KNOT,77.2,87.2,91.8,86.2,luxray_shadow:634;ampharos:611;lanturn:538;golem_alolan:515;bellibolt:511,electrode_hisuian:330;toxtricity:343;pawmot:379;galvantula:397;rotom:415
raikou,Raikou,88.2,131.9,110.6,116,1693,THUNDER_SHOCK,SHADOW_BALL,AURA_SPHERE,67.2,83.9,100,59.9,magnezone:840;golem_alolan:814;rotom:633;luxray_shadow:607;zapdos_shadow:547,bellibolt:279;galvantula:311;electrode_hisuian:343;minun:373;pawmot:446
thundurus_incarnate_shadow,Thundurus (Incarnate) (Shadow),88.2,148.1,95.5,107,1514,ASTONISH,CRUNCH,BRICK_BREAK,71.3,75,92.4,59.3,luxray_shadow:724;eelektross:602;bellibolt:546;rotom:546;lanturn:528,minun:311;electrode_hisuian:378;galvantula:385;golem_alolan:401;pawmot:491
pawmot,Pawmot,86.5,145,95.4,112,1552,LOW_KICK,BRICK_BREAK,CLOSE_COMBAT,72.4,78,95.6,67.7,golem_alolan:839;bellibolt:799;ampharos:754;minun:620;plusle:580,toxtricity:190;rotom:231;electrode_hisuian:239;galvantula:372;lanturn:420
lanturn,Lanturn,86.2,104.8,105.5,194,2145,WATER_GUN,SURF,THUNDERBOLT,65.3,76.5,98.7,68.6,eelektross:654;golem_alolan:595;pawmot:579;plusle:548;zapdos_shadow:538,electrode_hisuian:265;ampharos:341;galvantula:360;bellibolt:448;minun:461
plusle,Plusle,83.5,128.2,107.2,127,1746,QUICK_ATTACK,SWIFT,GRASS_KNOT,81.4,80.6,83.4,57.1,minun:622;golem_alolan:622;luxray_shadow:566;electrode_hisuian:511;ampharos:511,bellibolt:363;galvantula:405;pawmot:419;rotom:424;lanturn:451
rotom_mow,Rotom (Mow),81.3,128.8,144.9,93,1737,ASTONISH,OMINOUS_WIND,LEAF_STORM,71.7,63.6,85.2,78.4,lanturn:672;ampharos:672;rotom:655;plusle:612;bellibolt:591,galvantula:274;golem_alolan:311;pawmot:334;minun:396;electrode_hisuian:447
magnezone_shadow,Magnezone (Shadow),79.9,134.3,121.1,102,1661,VOLT_SWITCH,WILD_CHARGE,MIRROR_SHOT,66.1,70.6,78.9,76.1,ampharos:774;plusle:720;lanturn:686;minun:563;rotom:549,galvantula:250;pawmot:272;electrode_hisuian:378;bellibolt:392;golem_alolan:495
electrode,Electrode,79.2,122.8,126.3,118,1832,VOLT_SWITCH,HYPER_BEAM,FOUL_PLAY,60.8,76.9,90.8,50.1,rotom:656;luxray_shadow:584;minun:576;lanturn:525;magnezone:504,galvantula:188;pawmot:205;electrode_hisuian:334;golem_alolan:337;bellibolt:431
raikou_shadow,Raikou (Shadow),78.7,133.5,109.9,113,1659,THUNDER_SHOCK,SHADOW_BALL,AURA_SPHERE,75.1,87.2,85.7,26.6,golem_alolan:783;pawmot:703;lanturn:597;rotom:561;bellibolt:530,galvantula:151;electrode_hisuian:365;minun:373;toxtricity:389;ampharos:496
thundurus_incarnate,Thundurus (Incarnate),78.6,148.1,95.5,107,1514,ASTONISH,CRUNCH,BRICK_BREAK,67.8,71.4,82.5,55.1,luxray:761;luxray_shadow:724;eelektross:658;rotom:570;minun:565,electrode_hisuian:317;golem_alolan:329;galvantula:372;pawmot:424;bellibolt:493
ampharos,Ampharos,78.5,126.8,107.9,129,1766,VOLT_SWITCH,BRUTAL_SWING,TRAILBLAZE,68.5,77.8,77.6,60.2,rotom:670;lanturn:658;luxray_shadow:565;eelektross:542;magnezone:515,galvantula:340;bellibolt:344;golem_alolan:376;minun:388;electrode_hisuian:469
pachirisu,Pachirisu,78.5,91.5,157.1,142,2044,VOLT_SWITCH,HYPER_FANG,THUNDER_PUNCH,65.2,69.7,79.6,80.9,zapdos_shadow:697;magnezone:658;togedemaru:588;raikou:566;lanturn:559,golem_alolan:303;electrode_hisuian:304;bellibolt:405;galvantula:409;minun:469
golem_alolan_shadow,Golem (Alolan) (Shadow),77.2,125.1,122.2,117,1791,ROLLOUT,STONE_EDGE,ROCK_BLAST,58,50.5,76,36.1,eelektross:790;zapdos_shadow:692;morpeko_full_belly:688;bellibolt:611;magnezone:504,pawmot:191;electrode_hisuian:217;ampharos:220;minun:373;galvantula:405
ampharos_shadow,Ampharos (Shadow),77,126.8,107.9,129,1766,VOLT_SWITCH,BRUTAL_SWING,TRAILBLAZE,62.5,74.5,78.5,59.1,golem_alolan:779;eelektross:763;lanturn:705;rotom:616;raikou:507,galvantula:241;pawmot:250;electrode_hisuian:321;minun:388;bellibolt:422
electivire_shadow,Electivire (Shadow),77,143.3,100.8,108,1562,LOW_KICK,ICE_PUNCH,FLAMETHROWER,62.1,88.4,79.8,22.9,magnezone:740;golem_alolan:703;eelektross:671;electrode_hisuian:625;zapdos_shadow:513,galvantula:151;minun:215;pawmot:272;lanturn:389;bellibolt:477
golem_alolan,Golem (Alolan),76.7,125.1,122.2,117,1791,ROLLOUT,STONE_EDGE,ROCK_BLAST,60,49.6,78.9,56.5,morpeko_full_belly:705;zapdos_shadow:688;toxtricity:653;ampharos:623;rotom:619,pawmot:160;electrode_hisuian:186;galvantula:348;bellibolt:451;minun:484
dedenne,Dedenne,76.6,124.3,109,133,1804,THUNDER_SHOCK,DISCHARGE,PLAY_ROUGH,72.2,61.8,84.6,35.5,pawmot:684;rotom:635;galvantula:567;ampharos:530;luxray_shadow:522,golem_alolan:106;bellibolt:350;lanturn:371;minun:376;electrode_hisuian:421
graveler_alolan_shadow,Graveler (Alolan) (Shadow),75.7,122.6,129.8,115,1831,ROCK_THROW,STONE_EDGE,ROCK_BLAST,68.4,63.9,64.3,80.9,zapdos_shadow:917;galvantula:800;galvantula_shadow:769;morpeko_full_belly:695;eelektrik:586,pawmot:316;minun:342;electrode_hisuian:352;bellibolt:396;golem_alolan:414
eelektross,Eelektross,75.6,133.8,99.7,126,1682,ACID,CRUNCH,LIQUIDATION,64.3,48.4,77.8,39.7,electrode_hisuian:686;morpeko_full_belly:682;rotom:583;golem_alolan:579;raikou:523,galvantula:237;pawmot:272;lanturn:345;bellibolt:353;minun:457
emolga,Emolga,75.6,127.5,110.2,125,1758,QUICK_ATTACK,ACROBATICS,DISCHARGE,74.5,61.8,82.8,36.9,luxray_shadow:796;pawmot:664;electrode_hisuian:660;galvantula:640;eelektross:532,golem_alolan:252;lanturn:291;bellibolt:347;minun:426;ampharos:468
graveler_alolan,Graveler (Alolan),75.5,121.4,130.9,116,1845,ROCK_THROW,STONE_EDGE,ROCK_BLAST,68.4,51.2,75.6,76.1,zapdos_shadow:905;galvantula_shadow:801;galvantula:762;toxtricity:659;minun:504,pawmot:227;electrode_hisuian:265;lanturn:311;golem_alolan:333;bellibolt:448
