speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
mandibuzz,Mandibuzz,96.3,92.1,151.2,175,2440,SNARL,FOUL_PLAY,SHADOW_BALL,95.5,90.3,93,100,salamence:625;salamence_shadow:608;gliscor:608;pelipper:602;charizard:562,murkrow:248;ninetales_shadow:361;toucannon:365;ninetales:424;pidgeot:447
toucannon,Toucannon,95.6,137.2,96.7,123,1634,PECK,BEAK_BLAST,DRILL_PECK,100,99.7,97.1,62.2,togekiss:711;charizard:613;pidgeot:597;pidgeot_shadow:569;ninetales_shadow:540,ninetales:202;gyarados:252;drampa:278;murkrow:300;gyarados_shadow:301
toucannon_shadow,Toucannon (Shadow),94.5,137.2,96.7,123,1634,PECK,BEAK_BLAST,DRILL_PECK,97,100,98.1,56.6,togekiss:670;trumbeak:670;fearow:670;pidgeot:569;ninetales:540,ninetales_shadow:226;torkoal:238;pelipper:239;pidgeot_shadow:288;charizard_shadow:311
pidgeot,Pidgeot,94,116.9,115.5,142,1918,WING_ATTACK,AIR_CUTTER,BRAVE_BIRD,99.3,93.6,95.5,86.4,pelipper:785;togekiss:549;gyarados_shadow:528;trumbeak:521;murkrow:507,quagsire_shadow:158;ninetales:162;ninetales_shadow:202;abomasnow:223;mantine:280
murkrow_shadow,Murkrow (Shadow),93.8,143.1,81.1,135,1568,PECK,DRILL_PECK,FOUL_PLAY,95.9,94.2,100,49.6,togekiss:662;toucannon:625;trumbeak:625;fearow:625;pidgeot:537,ninetales:242;ninetales_shadow:257;pelipper:278;pidgeot_shadow:288;charizard_shadow:311
mantine,Mantine,93.4,105.5,166.5,121,2127,WING_ATTACK,AERIAL_ACE,ICE_BEAM,95.6,86.1,94,84.5,pidgeot:719;ninetales:690;charizard_shadow:681;togekiss:657;gyarados_shadow:603,dragonite:181;gliscor_shadow:211;pidgeot_shadow:214;dragonite_shadow:225;dodrio:277
moltres_galarian,Moltres (Galarian),92.9,115.1,134.6,124,1922,SUCKER_PUNCH,FLY,BRAVE_BIRD,91.1,82.5,96,78.7,torkoal:625;gyarados:616;fearow:520;trumbeak:516;ninetales:508,gliscor:262;ninetales_shadow:281;pidgeot:299;charizard:303;charizard_shadow:346
murkrow,Murkrow,92.9,143.1,81.1,135,1568,PECK,DRILL_PECK,FOUL_PLAY,98.2,95.3,93.6,53.9,toucannon:700;togekiss:700;trumbeak:700;toucannon_shadow:625;charizard:581,ninetales_shadow:242;gyarados:264;drampa:278;gyarados_shadow:301;pidgeot:492
togekiss,Togekiss,92.9,124.2,125.8,115,1799,PECK,PSYSHOCK,AURA_SPHERE,95.5,93.6,89.5,74.3,salamence:873;salamence_shadow:756;drampa:704;gyarados_shadow:673;pidgeot_shadow:582,charizard:260;dodrio:277;toucannon:288;charizard_shadow:303;pidgeot:450
dodrio,Dodrio,92.8,143.7,98.4,110,1557,PECK,DRILL_PECK,BRAVE_BIRD,98.1,98.5,97.1,53,togekiss:722;toucannon:677;murkrow:677;toucannon_shadow:631;pidgeot:554,torkoal:199;ninetales:202;ninetales_shadow:242;drampa:278;charizard_shadow:346
