speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
sealeo,Sealeo,97.3,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM,97.7,93,96.1,100,togetic:696;primeape:627;dusclops:601;dragonair_shadow:568;zweilous:565,magneton:263;metang:360;charjabug:369;doublade:419;lairon:432
dusclops,Dusclops,96.6,102.4,197.6,108,2187,HEX,ICE_PUNCH,SHADOW_PUNCH,89.5,91.6,93.2,98.4,togetic:745;metang:722;fletchinder:606;doublade:560;charjabug:504,zweilous:310;primeape:383;sealeo:398;sealeo_shadow:461;dragonair_shadow:488
doublade,Doublade,96.2,122.9,140,106,1825,SHADOW_CLAW,SACRED_SWORD,GYRO_BALL,100,97,94.8,83.7,togetic:608;dragonair_shadow:603;sealeo:580;primeape:580;charjabug:528,fletchinder:339;crocalor:381;zweilous:410;dusclops:439;marshtomp:457
dusclops_shadow,Dusclops (Shadow),95.4,102.4,197.6,108,2187,HEX,ICE_PUNCH,SHADOW_PUNCH,95.2,95.1,92.2,81.7,doublade:745;togetic:648;charjabug:634;dragonair_shadow:592;sealeo_shadow:518,zweilous:353;crocalor:361;graveler_alolan:370;sealeo:461;primeape:474
sealeo_shadow,Sealeo (Shadow),94.9,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM,93.9,94.2,95.7,93.6,dragonair_shadow:750;togetic:693;zweilous:663;primeape:550;dusclops:538,primeape_shadow:280;charjabug:321;metang:383;doublade:448;lairon:487
morgrem,Morgrem,94.7,124.8,98,147,1799,SUCKER_PUNCH,FOUL_PLAY,PLAY_ROUGH,92.6,93.3,99.6,74.3,dusclops:748;doublade:693;dragonair_shadow:595;charjabug:527;zweilous:506,sealeo_shadow:270;metang:422;primeape:456;sealeo:464;togetic:487
metang,Metang,93.4,108.9,145.8,129,2050,FURY_CUTTER,PSYSHOCK,GYRO_BALL,92.3,96.2,92.7,81.9,dragonair_shadow:689;sealeo:639;primeape:616;sealeo_shadow:616;charjabug:596,doublade:264;dusclops:277;shelgon:402;zweilous:410;togetic:426
tinkatuff,Tinkatuff,92.4,104.1,134.4,149,2087,FAIRY_WIND,PLAY_ROUGH,FLASH_CANNON,80.8,66.4,100,88.5,zweilous:785;piloswine:761;togetic:694;dragonair_shadow:637;graveler_alolan:577,doublade:301;dusclops:337;primeape:340;sealeo:366;charjabug:412
charjabug,Charjabug,90.9,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,DISCHARGE,89.7,81.3,89.5,91.6,fletchinder:797;primeape:738;togetic:738;sealeo_shadow:678;sealeo:630,metang:403;dragonair_shadow:429;zweilous:450;doublade:471;dusclops:495
shelgon,Shelgon,90.6,123.2,119,123,1806,DRAGON_BREATH,TWISTER,FLAMETHROWER,81.4,94.2,95.9,58.8,graveler_alolan:691;charjabug:626;crocalor:605;metang:597;zweilous:520,primeape:250;doublade:367;dragonair_shadow:397;sealeo:413;dusclops:425
charjabug_shadow,Charjabug (Shadow),90.3,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,DISCHARGE,87.8,90.2,92.2,77.1,zweilous:746;primeape:690;sealeo:678;togetic:674;doublade:563,dragonair_shadow:220;piloswine:331;dusclops:365;lairon:411;metang:488
klang,Klang,90.3,114,137.7,125,1965,METAL_SOUND,VICE_GRIP,THUNDERBOLT,90.5,84.7,90.9,87.8,togetic:656;dragonair_shadow:624;sealeo:544;zweilous:528;primeape:504,primeape_shadow:262;doublade:363;dusclops:398;graveler_alolan:418;charjabug:492
lairon,Lairon,89.7,113.8,147.1,118,1977,METAL_SOUND,ROCK_TOMB,BODY_SLAM,89.1,79.6,89.3,82.9,charjabug:652;sealeo:567;dragonair_shadow:559;dusclops:529;zweilous:529,primeape:176;primeape_shadow:211;marshtomp:232;doublade:268;metang:406
hakamo_o,Hakamo-o,89.5,115.5,135.5,124,1942,DRAGON_TAIL,BRICK_BREAK,ROCK_TOMB,88.9,68.4,78.9,77.1,charjabug:766;zweilous:641;primeape:576;sealeo:520;dusclops:520,togetic:89;doublade:297;dragonair_shadow:437;sealeo_shadow:482;metang:496
metang_shadow,Metang (Shadow),89.5,108.9,145.8,129,2050,FURY_CUTTER,PSYSHOCK,GYRO_BALL,89.4,76.2,91.6,68,dragonair_shadow:666;sealeo:616;sealeo_shadow:550;primeape:538;charjabug:511,doublade:254;togetic:321;dusclops:324;fletchinder:332;zweilous:410
zweilous_shadow,Zweilous (Shadow),89.3,120.4,110.2,140,1859,DRAGON_BREATH,BODY_SLAM,DARK_PULSE,82.7,80.1,92.2,61.4,fletchinder:721;dusclops:646;graveler_alolan:632;metang:589;doublade:539,togetic:235;charjabug:253;primeape:314;sealeo:336;dragonair_shadow:429
dragonair_shadow,Dragonair (Shadow),88.4,125.2,112.4,127,1788,DRAGON_BREATH,WRAP,AQUA_TAIL,90.7,82.4,84.8,63.1,fletchinder:748;zweilous:641;piloswine:641;charjabug:570;dusclops:511,sealeo_shadow:250;togetic:304;primeape:314;doublade:396;sealeo:431
machoke_shadow,Machoke (Shadow),88.4,126.7,97.3,143,1766,KARATE_CHOP,CROSS_CHOP,DYNAMIC_PUNCH,89.4,66.9,90.4,71.5,sealeo:776;sealeo_shadow:772;zweilous:758;dragonair_shadow:699;primeape:576,togetic:77;dusclops:236;charjabug:345;doublade:372;metang:484
primeape_shadow,Primeape (Shadow),88.4,138.7,100.1,116,1611,KARATE_CHOP,RAGE_FIST,ICE_PUNCH,93.1,85.4,78.7,57.8,lairon:788;sealeo_shadow:719;zweilous:685;dragonair_shadow:629;dusclops:525,charjabug:309;togetic:361;doublade:429;sealeo:449;metang:461
primeape,Primeape,88.2,138.7,100.1,116,1611,KARATE_CHOP,RAGE_FIST,ICE_PUNCH,87.8,76.5,77.5,65.9,lairon:823;zweilous:762;graveler_alolan:754;dragonair_shadow:685;dusclops:616,charjabug:261;togetic:313;sealeo:372;doublade:419;sealeo_shadow:449
shelgon_shadow,Shelgon (Shadow),88,123.2,119,123,1806,DRAGON_BREATH,TWISTER,FLAMETHROWER,76,71.4,93.4,54,graveler_alolan:813;crocalor:800;fletchinder:752;charjabug:593;piloswine:589,doublade:221;sealeo:252;primeape:331;dragonair_shadow:452;dusclops:453
