speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
blastoise,Blastoise,96.6,112.1,137.7,130,2008,ROLLOUT,HYDRO_CANNON,SKULL_BASH,98.8,100,94.5,76.7,azumarill:673;clodsire:661;skarmory:630;araquanid:600;dunsparce:534,lanturn:350;vigoroth:389;malamar:402;rillaboom:426;sableye:432
clefable,Clefable,96.4,116.5,112.1,147,1922,FAIRY_WIND,MOONBLAST,METEOR_MASH,95.9,94,100,85.4,malamar:772;sableye:710;araquanid:622;lanturn:540;azumarill:530,clodsire:218;skarmory:367;rillaboom:368;blastoise:407;vigoroth:427
dubwool,Dubwool,94.9,110.6,143,128,2025,TAKE_DOWN,BODY_SLAM,WILD_CHARGE,100,81.8,93.5,82.6,blastoise:664;skarmory:652;araquanid:652;lanturn:640;vigoroth:628,togekiss:308;sableye:320;flamigo:321;clodsire:432;sandslash_alolan:460
araquanid,Araquanid,94.7,97.4,174,136,2306,INFESTATION,WATER_PULSE,MIRROR_COAT,90.9,79,91.3,100,sandslash_alolan:709;malamar:698;rillaboom:665;quagsire:617;sableye:518,skarmory:239;lanturn:347;blastoise:400;vigoroth:455;clodsire:468
aromatisse,Aromatisse,94.7,115.8,107.3,156,1939,FAIRY_WIND,MOONBLAST,PSYSHOCK,96.7,95.4,96.5,88.7,sableye:689;araquanid:653;blastoise:625;lanturn:605;vigoroth:551,sandslash_alolan:280;rillaboom:337;skarmory:347;quagsire:403;clodsire:411
vigoroth,Vigoroth,94.2,116.2,114.1,145,1923,SCRATCH,BODY_SLAM,BULLDOZE,95,98.2,91.3,74.9,lanturn:631;clodsire:631;blastoise:610;azumarill:568;araquanid:544,togekiss:265;malamar:399;rillaboom:437;skarmory:450;sableye:476
azumarill,Azumarill,94.1,93.4,134.4,191,2400,BUBBLE,ICE_BEAM,PLAY_ROUGH,91.8,81.6,96.5,94.8,togekiss:701;malamar:672;sableye:649;dunsparce:573;araquanid:515,lanturn:309;blastoise:326;skarmory:388;clodsire:430;vigoroth:431
lanturn,Lanturn,93.9,104.8,105.5,194,2145,SPARK,SURF,THUNDERBOLT,92,78.7,97.1,93.3,togekiss:713;skarmory:693;azumarill:690;araquanid:652;blastoise:649,clodsire:295;dunsparce:347;vigoroth:368;sandslash_alolan:468;sableye:484
aurorus,Aurorus,93.8,113.5,106.3,164,1979,POWDER_SNOW,WEATHER_BALL_ICE,METEOR_BEAM,96,81.8,92.7,86.4,skarmory:637;rillaboom:600;vigoroth:576;lanturn:506;clodsire:503,araquanid:202;blastoise:273;malamar:348;azumarill:442;sableye:484
walrein,Walrein,93.8,112.4,114.9,154,1991,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE,98.4,91.6,91.5,75.1,skarmory:633;azumarill:626;lanturn:594;clodsire:587;vigoroth:564,araquanid:297;flamigo:369;malamar:374;blastoise:411;sableye:424
