speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
piloswine,Piloswine,96.4,121,99.4,154,1855,POWDER_SNOW,ICICLE_SPEAR,STONE_EDGE,97.2,97.8,100,77.3,altaria:792;drapion_shadow:623;lickilicky:607;stunfisk_galarian:564;corviknight:545,togekiss:352;forretress:371;wigglytuff:470;quagsire_shadow:484;cradily:486
piloswine_shadow,Piloswine (Shadow),95.7,121,99.4,154,1855,POWDER_SNOW,ICICLE_SPEAR,STONE_EDGE,100,100,98.4,65,cradily:866;altaria:792;lickilicky:642;wigglytuff:607;corviknight:525,qwilfish_shadow:166;scizor_shadow:219;togekiss:395;forretress:410;lanturn:414
diggersby,Diggersby,95.3,95.7,140.3,174,2337,QUICK_ATTACK,FIRE_PUNCH,SCORCHING_SANDS,92.8,89.1,93.1,100,drapion_shadow:767;corviknight:718;stunfisk_galarian:712;forretress:620;lickilicky:600,togekiss:330;cradily:371;piloswine:383;altaria:405;wigglytuff:419
forretress,Forretress,93.3,109.7,145.4,128,2044,BUG_BITE,SAND_TOMB,ROCK_TOMB,94.3,66.2,88.9,92.6,cradily:710;wigglytuff:605;togekiss:585;lickilicky:558;corviknight:503,talonflame:129;altaria:206;diggersby:379;stunfisk_galarian:389;clodsire:480
clodsire,Clodsire,93.2,95,119.7,208,2367,POISON_STING,EARTHQUAKE,STONE_EDGE,89.4,75.8,99.8,79,togekiss:670;wigglytuff:668;lickilicky:625;cradily:608;forretress:519,quagsire_shadow:83;piloswine:305;stunfisk_galarian:360;altaria:380;corviknight:390
stunfisk_galarian,Stunfisk (Galarian),93,101.4,126.6,172,2212,MUD_SHOT,ROCK_SLIDE,EARTHQUAKE,93.6,75.1,96,90,wigglytuff:665;forretress:610;lickilicky:601;cradily:598;corviknight:575,quagsire_shadow:124;diggersby:287;togekiss:343;piloswine:435;altaria:460
crustle,Crustle,92.8,120.3,134.7,115,1864,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER,96.1,95.7,97.2,66.2,cradily:891;altaria:786;lickilicky:560;togekiss:547;wigglytuff:543,stunfisk_galarian:357;corviknight:363;quagsire_shadow:391;clodsire:391;forretress:492
altaria,Altaria,92.6,103.4,151.9,138,2168,DRAGON_BREATH,SKY_ATTACK,FLAMETHROWER,92.5,74.1,93.4,90.8,forretress:793;corviknight:681;drapion_shadow:681;quagsire_shadow:605;stunfisk_galarian:539,piloswine:207;wigglytuff:300;togekiss:360;lickilicky:368;cradily:388
corviknight,Corviknight,92.6,106.9,130.6,150,2097,SAND_ATTACK,AIR_CUTTER,PAYBACK,93.1,87,93.6,93.6,wigglytuff:640;clodsire:610;lickilicky:600;guzzlord:583;drapion_shadow:580,altaria:318;togekiss:413;cradily:420;piloswine:454;forretress:496
swalot,Swalot,91.9,103.4,122.6,171,2169,MUD_SHOT,SLUDGE,ICE_BEAM,88.7,77.8,95.6,84.6,wigglytuff:719;altaria:646;togekiss:576;lickilicky:523;cradily:505,corviknight:223;stunfisk_galarian:264;quagsire_shadow:335;piloswine:347;forretress:363
diggersby_shadow,Diggersby (Shadow),91.5,95.7,140.3,174,2337,QUICK_ATTACK,SCORCHING_SANDS,FIRE_PUNCH,93.3,91.7,92.7,83.4,drapion_shadow:701;stunfisk_galarian:635;corviknight:629;forretress:600;lickilicky:566,altaria:347;piloswine:418;togekiss:421;cradily:489;wigglytuff:491
