speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
lapras,Lapras,97.6,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,SKULL_BASH,100,95.9,97.3,89.8,bronzong:611;gyarados:600;dusknoir:589;glalie:572;turtonator:555,grumpig:303;metang:310;drampa:395;vespiquen:412;togekiss:482
sealeo,Sealeo,96.7,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM,96.2,98.1,94.3,97.9,charizard:809;dusclops:601;gyarados:580;froslass:547;glalie:535,metang:360;bronzong:366;dusknoir:444;turtonator:455;claydol:487
dusclops,Dusclops,95.3,102.4,197.6,108,2187,HEX,SHADOW_PUNCH,ICE_PUNCH,89.9,88.4,88.9,100,metang:722;togekiss:685;claydol:587;dusknoir:578;bronzong:513,charizard:367;gyarados:380;turtonator:420;fearow:443;glalie:446
turtonator,Turtonator,94.6,113.5,153.6,113,1971,INCINERATE,BRUTAL_SWING,DRAGON_CLAW,91,97.8,88.2,95.3,bronzong:907;dusknoir:615;dusclops:579;glalie:548;charizard:526,drampa:195;gyarados:231;fearow:278;claydol:342;togekiss:491
feraligatr,Feraligatr,92.7,123.8,117.3,125,1818,SHADOW_CLAW,HYDRO_CANNON,CRUNCH,94,87.8,93.4,85.6,dusknoir:828;charizard:744;bronzong:668;glalie:540;turtonator:512,drampa:313;arctibax:367;fearow:383;gyarados:466;dusclops:467
crustle,Crustle,92.5,120.3,134.7,115,1864,FURY_CUTTER,ROCK_WRECKER,X_SCISSOR,94.9,96.6,100,53.7,turtonator:617;dusknoir:613;fearow:521;glalie:517;gyarados:504,charizard:286;metang:344;bronzong:375;dusclops:393;arctibax:437
barbaracle,Barbaracle,91.5,120.9,133,115,1851,FURY_CUTTER,CROSS_CHOP,STONE_EDGE,89.9,65.1,93.4,92.4,turtonator:756;glalie:708;charizard:647;froslass:634;gyarados:608,dusknoir:127;bronzong:350;fearow:350;dusclops:361;metang:403
glalie,Glalie,91.3,115.2,120.7,140,1948,ROLLOUT,AVALANCHE,SHADOW_BALL,93.8,92.4,96.6,55.3,charizard:760;gyarados:603;fearow:567;dusclops:553;froslass:539,metang:96;claydol:326;bronzong:433;dusknoir:444;turtonator:451
gyarados,Gyarados,91.2,130.7,108.5,121,1717,DRAGON_BREATH,AQUA_TAIL,CRUNCH,95.7,86.7,84.9,68.6,turtonator:768;charizard:760;dusknoir:623;dusclops:619;bronzong:590,togekiss:295;goodra:346;glalie:396;marowak_alolan:440;fearow:463
milotic,Milotic,90.9,113.1,133.8,131,1985,DRAGON_TAIL,AQUA_TAIL,WRAP,91.8,90.7,85.4,86.6,charizard:709;turtonator:622;glalie:614;gyarados:603;fearow:541,dusknoir:361;metang:383;bronzong:395;dusclops:439;togekiss:473
dudunsparce,Dudunsparce,90.8,116.1,98.5,169,1935,ROLLOUT,BODY_SLAM,DRILL_RUN,90.5,89.5,83,77.5,charizard:828;glalie:591;turtonator:517;dusclops:517;fearow:511,metang:465;drampa:465;bronzong:483;dusknoir:488;gyarados:491
marowak_alolan,Marowak (Alolan),90.7,109.6,148.8,125,2041,HEX,FLAME_WHEEL,SHADOW_BALL,94.4,85.9,88.7,80.6,bronzong:752;charizard:612;dusclops:608;gyarados:560;dusknoir:548,drampa:291;fearow:354;turtonator:429;glalie:453;claydol:471
claydol,Claydol,88.3,103.5,172.6,121,2164,MUD_SLAP,ROCK_TOMB,ICE_BEAM,86.7,75.3,85.7,71.8,glalie:673;turtonator:657;fearow:632;bronzong:566;charizard:528,gyarados:152;arctibax:301;dusknoir:338;froslass:350;dusclops:412
altaria,Altaria,88,103.4,151.9,138,2168,DRAGON_BREATH,SKY_ATTACK,FLAMETHROWER,85.7,65.4,79.5,81.4,dusknoir:710;charizard:612;fearow:605;turtonator:579;gyarados:579,glalie:239;froslass:257;bronzong:425;dusclops:435;marowak_alolan:464
bronzong,Bronzong,87.6,110.8,152.2,120,2026,METAL_SOUND,PSYSHOCK,PAYBACK,86.8,76.3,84,79.8,drampa:716;froslass:612;glalie:566;fearow:545;dusknoir:537,turtonator:92;marowak_alolan:248;charizard:384;gyarados:409;dusclops:486
