speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
mawile_mega,Mawile (Mega),98.2,124.3,147.6,98,1799,FAIRY_WIND,VICE_GRIP,IRON_HEAD,100,94.5,98.4,100,dragonair_shadow:709;jumpluff:647;swalot:647;malamar_mega:540;cramorant:530,stunfisk:296;vigoroth:327;charjabug:337;electrode_hisuian:369;dusknoir_shadow:488
swalot,Swalot,96.2,103.4,122.6,171,2169,INFESTATION,SLUDGE,ICE_BEAM,95,89.9,95,98.1,malamar_mega:751;jumpluff:716;cradily:690;charjabug:652;dragonair_shadow:605,dunsparce:342;mawile_mega:352;cramorant:361;dusknoir_shadow:422;lapras:466
cramorant,Cramorant,95.3,121.2,121.2,126,1852,PECK,DIVE,FLY,94,88.2,94.5,98.9,spidops:821;dragonair_shadow:734;dunsparce:694;swalot:638;jumpluff:619,charjabug:182;cradily:402;lapras:413;mawile_mega:469;dusknoir_shadow:488
jumpluff,Jumpluff,95.2,96.7,156.9,153,2323,FAIRY_WIND,ENERGY_BALL,ACROBATICS,90.1,82.8,96.4,98.9,malamar_mega:663;dragonair_shadow:627;dusknoir_shadow:571;vigoroth:552;charjabug:539,swalot:283;lapras:340;mawile_mega:352;cramorant:380;cradily:381
malamar_mega,Malamar (Mega),95.1,118.4,132.4,120,1883,PSYWAVE,FOUL_PLAY,SUPER_POWER,94.8,90.4,100,69.7,dusknoir_shadow:720;lapras:670;dunsparce:604;vigoroth:562;cradily:512,dragonair_shadow:240;charjabug:242;swalot:248;jumpluff:336;mawile_mega:459
crustle,Crustle,94.6,120.3,134.7,115,1864,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER,92.1,87.4,99.1,78.6,lapras:795;malamar_mega:747;jumpluff:704;charjabug:586;swalot:560,mawile_mega:107;dusknoir_shadow:238;cramorant:285;dragonair_shadow:287;dunsparce:478
lapras,Lapras,94.4,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,94.1,92.6,97.3,77.5,jumpluff:659;cramorant:586;dragonair_shadow:558;swalot:533;cradily:516,malamar_mega:329;dunsparce:342;mawile_mega:387;vigoroth:410;charjabug:420
cetitan,Cetitan,94.3,120.1,77,202,1871,POWDER_SNOW,ICICLE_SPEAR,SUPER_POWER,93.6,87.8,98,88.9,jumpluff:898;swalot:591;lapras:561;charjabug:514;dragonair_shadow:512,mawile_mega:158;malamar_mega:420;cramorant:460;cradily:482;dusknoir_shadow:483
dusknoir_shadow,Dusknoir (Shadow),94.1,119.8,174.1,90,1878,ASTONISH,DYNAMIC_PUNCH,SHADOW_PUNCH,92.8,80.5,90.4,75.6,vigoroth:633;swalot:577;charjabug:555;mawile_mega:511;cramorant:511,malamar_mega:279;dragonair_shadow:358;lapras:388;jumpluff:428;dunsparce:456
aurorus,Aurorus,94,113.5,106.3,164,1979,POWDER_SNOW,WEATHER_BALL_ICE,METEOR_BEAM,95.8,85.5,88.6,90.2,jumpluff:914;swalot:695;charjabug:646;cramorant:567;dragonair_shadow:530,abomasnow_shadow:227;dusknoir_shadow:288;toxapex:334;mawile_mega:382;malamar_mega:383
