speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
carbink,Carbink,94.7,84,252,126,2669,ROCK_THROW,ROCK_SLIDE,MOONBLAST,93.9,73.5,92.3,97.2,moltres_galarian:797;sableye_shadow:666;wigglytuff:587;furret:531;jellicent:523,clodsire:223;quagsire_shadow:329;diggersby:376;tinkaton:393;forretress:468
araquanid,Araquanid,93.9,97.4,174,136,2306,BUG_BITE,WATER_PULSE,BUBBLE_BEAM,100,91.1,86.9,100,diggersby:705;furret:672;guzzlord:672;goodra:647;sableye_shadow:558,jellicent:358;tinkaton:382;clodsire:387;moltres_galarian:427;wigglytuff:473
forretress,Forretress,93.7,109.7,145.4,128,2044,BUG_BITE,SAND_TOMB,ROCK_TOMB,94.3,67.7,85.1,96.3,guzzlord:722;goodra:648;furret:617;wigglytuff:566;sableye_shadow:527,turtonator:154;diggersby:356;jellicent:387;clodsire:401;tinkaton:475
diggersby,Diggersby,92.4,95.7,140.3,174,2337,QUICK_ATTACK,FIRE_PUNCH,SCORCHING_SANDS,94.5,92.7,86.7,91.9,clodsire:718;tinkaton:695;forretress:643;sableye_shadow:629;turtonator:543,furret:393;moltres_galarian:395;wigglytuff:419;jellicent:439;guzzlord:445
zweilous,Zweilous,92.4,120.4,110.2,140,1859,DRAGON_BREATH,BODY_SLAM,DARK_PULSE,96.8,72.7,83.8,81.5,jellicent:767;furret:635;clodsire:610;diggersby:585;moltres_galarian:510,wigglytuff:65;tinkaton:92;forretress:191;golisopod:430;guzzlord:443
wigglytuff,Wigglytuff,92.2,115.1,75.5,223,1939,CHARM,ICY_WIND,SWIFT,95.3,75.4,81.1,85.6,moltres_galarian:825;furret:681;turtonator:672;diggersby:580;jellicent:508,swalot:298;clodsire:331;tinkaton:358;forretress:433;lapras:463
crustle,Crustle,92.1,120.3,134.7,115,1864,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER,94.7,100,90.2,59.5,furret:713;diggersby:669;turtonator:617;wigglytuff:543;sableye_shadow:539,jellicent:250;dusknoir_shadow:250;goodra:273;clodsire:391;tinkaton:464
kingdra,Kingdra,91.9,121.8,127.9,118,1839,DRAGON_BREATH,SWIFT,OUTRAGE,96.3,85.5,85.3,73.4,jellicent:826;furret:720;moltres_galarian:690;diggersby:593;clodsire:508,tinkaton:159;wigglytuff:235;sableye_shadow:324;guzzlord:430;goodra:487
regidrago,Regidrago,91.9,121.8,62.7,241,1842,DRAGON_BREATH,DRAGON_ENERGY,HYPER_BEAM,95,67.5,90.7,65.5,jellicent:811;clodsire:616;furret:605;diggersby:599;sableye_shadow:522,tinkaton:92;wigglytuff:105;lapras:220;dusknoir_shadow:250;forretress:398
lapras,Lapras,91.8,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,93.7,89.9,89.4,75.9,diggersby:659;clodsire:611;dusknoir_shadow:611;goodra:603;wigglytuff:536,moltres_galarian:322;sableye_shadow:352;jellicent:358;furret:409;tinkaton:478
