speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
corsola_galarian,Corsola (Galarian),98.6,99.3,163,139,2252,ASTONISH,NIGHT_SHADE,POWER_GEM,100,86.4,98.9,100,kingdra:629;cramorant:615;altaria:600;dragonair_shadow:597;cradily:521,furret:293;snorlax:296;aurorus:408;quagsire_shadow:493;lapras:494
snorlax,Snorlax,97.1,108.4,102.2,187,2073,PSYWAVE,BODY_SLAM,EARTHQUAKE,96,100,95.5,91.6,corsola_galarian:703;furret:657;kingdra:601;altaria:572;dragonair_shadow:542,vigoroth:379;annihilape_shadow:421;cramorant:424;cradily:437;jellicent:493
regidrago,Regidrago,96.4,121.8,62.7,241,1842,DRAGON_BREATH,DRAGON_ENERGY,VICE_GRIP,98.3,93.9,100,80.4,altaria:678;cramorant:614;vigoroth:564;cradily:560;kingdra:537,annihilape_shadow:289;lapras:340;snorlax:358;dragonair_shadow:397;corsola_galarian:431
dusclops,Dusclops,95.4,102.4,197.6,108,2187,HEX,ICE_PUNCH,SHADOW_PUNCH,92.7,84.8,94.1,97.2,annihilape_shadow:675;jumpluff:662;cradily:652;altaria:574;kingdra:537,snorlax:296;corsola_galarian:334;cramorant:349;vigoroth:389;dragonair_shadow:488
oranguru,Oranguru,95.1,110.1,130,142,2035,CONFUSION,BRUTAL_SWING,TRAILBLAZE,97.7,93.9,90.1,91,corsola_galarian:651;altaria:570;cramorant:559;vigoroth:549;cradily:542,aurorus:265;furret:284;dragonair_shadow:314;snorlax:368;kingdra:474
cresselia,Cresselia,95,93.1,160.7,160,2396,PSYCHO_CUT,GRASS_KNOT,MOONBLAST,92.1,91.2,95.9,95.1,altaria:665;dragonair_shadow:646;kingdra:581;vigoroth:550;cramorant:515,corsola_galarian:241;furret:325;jumpluff:382;cradily:406;aurorus:411
lapras,Lapras,94.7,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,94.5,92,97.8,79.6,altaria:787;cramorant:586;kingdra:536;cradily:516;corsola_galarian:505,annihilape_shadow:289;jellicent:352;furret:409;vigoroth:410;aurorus:475
kingdra,Kingdra,94.5,121.8,127.9,118,1839,DRAGON_BREATH,SURF,SWIFT,96,97.8,92.7,84.9,quagsire_shadow:792;stunfisk:656;aurorus:627;dragonair_shadow:614;jellicent:512,corsola_galarian:370;cradily:399;altaria:456;vigoroth:458;cramorant:480
shelgon,Shelgon,94.5,123.2,119,123,1806,DRAGON_BREATH,TWISTER,FLAMETHROWER,92.1,97.8,95.9,76.3,altaria:670;cramorant:593;quagsire_shadow:577;cradily:540;kingdra:536,annihilape_shadow:289;corsola_galarian:363;snorlax:387;dragonair_shadow:397;vigoroth:472
cramorant,Cramorant,94.4,121.2,121.2,126,1852,PECK,DIVE,FLY,93.4,87.3,94.8,96.6,dragonair_shadow:734;annihilape_shadow:611;jellicent:531;altaria:527;kingdra:519,corsola_galarian:384;cradily:402;lapras:413;vigoroth:431;aurorus:432
dusclops_shadow,Dusclops (Shadow),94.2,102.4,197.6,108,2187,HEX,ICE_PUNCH,SHADOW_PUNCH,95.2,85.3,94,86.2,cradily:620;dragonair_shadow:592;altaria:574;kingdra:541;cramorant:518,snorlax:256;corsola_galarian:392;jellicent:419;lapras:432;vigoroth:489
cradily,Cradily,94,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT,94.5,77.8,95.5,81.4,quagsire_shadow:777;dragonair_shadow:628;altaria:611;kingdra:600;cramorant:597,annihilape_shadow:110;jellicent:458;corsola_galarian:478;lapras:483;vigoroth:489
giratina_altered_shadow,Giratina (Altered) (Shadow),94,105.2,125,159,2093,DRAGON_BREATH,DRAGON_CLAW,SHADOW_SNEAK,90.6,79.5,97.7,77.3,altaria:682;vigoroth:657;cradily:628;cramorant:540;dragonair_shadow:534,jellicent:233;lapras:405;kingdra:411;snorlax:419;corsola_galarian:453
crustle,Crustle,93.8,120.3,134.7,115,1864,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER,89.3,93.9,99.1,75.3,cradily:891;altaria:795;lapras:795;furret:739;vigoroth:604,annihilape_shadow:146;kingdra:258;cramorant:285;dragonair_shadow:287;corsola_galarian:442
jumpluff,Jumpluff,93.8,96.7,156.9,153,2323,FAIRY_WIND,ENERGY_BALL,ACROBATICS,91.4,85.9,97.7,91.8,kingdra:735;dragonair_shadow:627;corsola_galarian:578;annihilape_shadow:578;vigoroth:552,aurorus:85;lapras:340;cramorant:380;cradily:381;altaria:456
dusknoir_shadow,Dusknoir (Shadow),93.4,119.8,174.1,90,1878,ASTONISH,DYNAMIC_PUNCH,SHADOW_PUNCH,92.4,79.8,91.3,73,annihilape_shadow:900;cradily:861;vigoroth:633;corsola_galarian:566;cramorant:511,quagsire_shadow:282;kingdra:283;dragonair_shadow:358;lapras:388;altaria:413
grumpig,Grumpig,93.4,113.3,131.4,132,1967,PSYWAVE,DYNAMIC_PUNCH,SHADOW_BALL,94.5,96.4,94.5,71.5,vigoroth:575;altaria:553;kingdra:537;cradily:522;annihilape_shadow:511,dragonair_shadow:275;araquanid:330;jumpluff:366;corsola_galarian:428;quagsire_shadow:484
araquanid,Araquanid,93.1,97.4,174,136,2306,INFESTATION,WATER_PULSE,MIRROR_COAT,91.2,83.9,93.3,94.4,aurorus:797;ninetales_shadow:738;quagsire_shadow:584;dragonair_shadow:551;snorlax:503,cramorant:289;altaria:409;corsola_galarian:417;kingdra:470;cradily:489
kingdra_shadow,Kingdra (Shadow),93.1,121.8,127.9,118,1839,DRAGON_BREATH,SURF,SWIFT,96.5,96.7,91.9,74.8,quagsire_shadow:792;aurorus:766;furret:741;snorlax:555;cramorant:512,cradily:392;dragonair_shadow:429;corsola_galarian:474;altaria:478;vigoroth:479
dragonair_shadow,Dragonair (Shadow),93,125.2,112.4,127,1788,DRAGON_BREATH,WRAP,AQUA_TAIL,94.2,99.3,85.3,69.2,ninetales_shadow:732;grumpig:724;annihilape_shadow:712;stunfisk:625;altaria:543,cramorant:265;jellicent:310;cradily:371;kingdra:385;corsola_galarian:402
furret,Furret,93,115.3,105.4,160,1946,SUCKER_PUNCH,SWIFT,TRAILBLAZE,94.5,88.7,88.7,86.2,jellicent:743;corsola_galarian:706;kingdra:631;cradily:562;dragonair_shadow:506,annihilape_shadow:253;snorlax:342;altaria:474;cramorant:492;vigoroth:496
shelgon_shadow,Shelgon (Shadow),93,123.2,119,123,1806,DRAGON_BREATH,TWISTER,FLAMETHROWER,93.5,95.6,92.2,64.8,vigoroth:752;quagsire_shadow:699;cramorant:674;altaria:670;jumpluff:613,annihilape_shadow:289;cradily:385;kingdra:385;dragonair_shadow:429;corsola_galarian:478
sliggoo,Sliggoo,93,114.1,133.8,128,1956,DRAGON_BREATH,BODY_SLAM,DRAGON_PULSE,94.9,87.6,93.4,79.3,altaria:714;kingdra:570;cramorant:539;vigoroth:523;corsola_galarian:507,aurorus:167;annihilape_shadow:289;lapras:324;dragonair_shadow:397;cradily:454
aurorus,Aurorus,92.7,113.5,106.3,164,1979,POWDER_SNOW,WEATHER_BALL_ICE,METEOR_BEAM,92.1,84.2,93.1,83.2,altaria:832;corsola_galarian:591;cramorant:567;dragonair_shadow:530;cradily:527,annihilape_shadow:228;quagsire_shadow:347;kingdra:372;jellicent:451;snorlax:491
snorlax_shadow,Snorlax (Shadow),92.3,108.4,102.2,187,2073,PSYWAVE,BODY_SLAM,SUPER_POWER,95.7,95.7,93.4,69.7,corsola_galarian:622;vigoroth:596;altaria:566;cradily:564;jellicent:505,dragonair_shadow:240;annihilape_shadow:360;kingdra:466;jumpluff:480;quagsire_shadow:484
jellicent,Jellicent,92.1,106.6,126.3,156,2102,HEX,SURF,SHADOW_BALL,92.1,82.6,94.8,81.6,dragonair_shadow:689;annihilape_shadow:641;quagsire_shadow:621;altaria:612;cradily:541,furret:256;corsola_galarian:442;vigoroth:465;cramorant:468;kingdra:487
abomasnow_shadow,Abomasnow (Shadow),91.8,117.8,112,143,1888,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,95.8,80.9,90.4,68.4,altaria:807;dragonair_shadow:744;cradily:660;cramorant:569;kingdra:566,ninetales_shadow:130;araquanid:323;corsola_galarian:384;snorlax:438;lapras:449
goodra,Goodra,91.6,119.6,134.1,117,1878,DRAGON_BREATH,AQUA_TAIL,THUNDER_PUNCH,94.2,92,85.7,84.9,cramorant:632;jellicent:564;furret:559;quagsire_shadow:551;kingdra:512,dragonair_shadow:358;vigoroth:372;altaria:376;cradily:406;corsola_galarian:428
oinkologne_female,Oinkologne (Female),91.6,109.6,111.5,167,2042,TAKE_DOWN,BODY_SLAM,TRAILBLAZE,93.2,84.3,87.8,81.6,snorlax:673;lapras:646;vigoroth:604;kingdra:571;cramorant:538,cradily:347;annihilape_shadow:367;dragonair_shadow:385;altaria:485;corsola_galarian:496
jumpluff_shadow,Jumpluff (Shadow),91.5,96.7,156.9,153,2323,FAIRY_WIND,ENERGY_BALL,ACROBATICS,87.8,85.3,95.7,80.6,quagsire_shadow:964;kingdra:660;altaria:607;dragonair_shadow:565;cramorant:506,annihilape_shadow:217;cradily:309;corsola_galarian:341;vigoroth:379;lapras:388
abomasnow,Abomasnow,91.4,117.8,112,143,1888,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,93.4,78.9,90.1,79.6,altaria:807;dragonair_shadow:744;kingdra:608;jellicent:552;vigoroth:517,corsola_galarian:370;cradily:451;annihilape_shadow:453;cramorant:464;aurorus:475
dusknoir,Dusknoir,91.4,119.8,174.1,90,1878,ASTONISH,DYNAMIC_PUNCH,SHADOW_PUNCH,94.2,84.8,90.3,74.3,cradily:577;annihilape_shadow:561;corsola_galarian:544;vigoroth:516;kingdra:511,dragonair_shadow:287;altaria:358;snorlax:417;cramorant:452;furret:462
clodsire,Clodsire,91.3,95,119.7,208,2367,POISON_STING,EARTHQUAKE,STONE_EDGE,89.9,79.8,96.6,77.6,cradily:608;altaria:600;cramorant:579;kingdra:536;corsola_galarian:507,quagsire_shadow:83;jellicent:333;snorlax:355;vigoroth:368;dragonair_shadow:468
dunsparce,Dunsparce,91.2,104.7,110.9,184,2139,BITE,DRILL_RUN,ROCK_SLIDE,89.6,92.3,91,86.5,corsola_galarian:730;lapras:657;quagsire_shadow:600;jellicent:589;altaria:570,cramorant:305;cradily:326;vigoroth:355;kingdra:411;dragonair_shadow:433
