speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
toxapex,Toxapex,95,91.9,224.3,118,2433,POISON_JAB,BRINE,SLUDGE_WAVE,89.2,73.6,95.7,100,azumarill:822;mantine:665;araquanid:635;mandibuzz:614;sableye_shadow:521,jellicent:333;morpeko_full_belly:334;kingdra:351;malamar:424;lanturn:479
mandibuzz,Mandibuzz,94.3,92.1,151.2,175,2440,AIR_SLASH,FOUL_PLAY,AERIAL_ACE,92.5,70.3,93.5,97.1,malamar:734;gastrodon:731;jellicent:645;sableye_shadow:588;mantine:525,lanturn:252;azumarill:285;morpeko_full_belly:326;toxapex:385;kingdra:491
mantine,Mantine,93.7,105.5,166.5,121,2127,WING_ATTACK,TWISTER,AERIAL_ACE,90.7,85.3,88.7,98.1,gastrodon:652;annihilape_shadow:652;azumarill:632;araquanid:586;kingdra:504,morpeko_full_belly:118;lanturn:229;toxapex:334;mandibuzz:474;jellicent:487
morpeko_full_belly,Morpeko (Hangry),92.9,140.4,96.2,118,1596,THUNDER_SHOCK,AURA_WHEEL_ELECTRIC,PSYCHIC_FANGS,97,76.6,97.4,71.8,jellicent:894;sableye_shadow:805;mandibuzz:673;toxapex:665;lanturn:559,araquanid:183;annihilape_shadow:185;gastrodon:205;kommo_o:330;zweilous:367
pawmot,Pawmot,91.8,145,95.4,112,1552,THUNDER_SHOCK,BRICK_BREAK,WILD_CHARGE,100,87.2,100,50,jellicent:776;mandibuzz:776;toxapex:727;morpeko_full_belly:526;lanturn:517,annihilape_shadow:217;gastrodon:252;chesnaught:326;kommo_o:344;zweilous:439
kingdra,Kingdra,90.8,121.8,127.9,118,1839,DRAGON_BREATH,OUTRAGE,SWIFT,94.2,96.8,86.6,73.4,jellicent:826;toxapex:648;gastrodon:588;sableye_shadow:563;mandibuzz:508,morpeko_full_belly:233;malamar:251;azumarill:468;lanturn:492;mantine:495
hydreigon_shadow,Hydreigon (Shadow),90.1,136,104.5,116,1650,DRAGON_BREATH,BRUTAL_SWING,FLY,95.7,82.6,78.3,60.3,jellicent:866;sableye_shadow:780;toxapex:633;lanturn:620;kingdra:530,araquanid:202;morpeko_full_belly:309;azumarill:327;mandibuzz:422;mantine:462
murkrow_shadow,Murkrow (Shadow),90,143.1,81.1,135,1568,PECK,DRILL_PECK,FOUL_PLAY,91.5,98,91.4,45.3,malamar:848;jellicent:840;gastrodon:840;sableye_shadow:737;araquanid:607,morpeko_full_belly:233;lanturn:371;mandibuzz:402;toxapex:419;mantine:446
zweilous,Zweilous,89.8,120.4,110.2,140,1859,DRAGON_BREATH,BODY_SLAM,DARK_PULSE,94.2,90.7,83.4,72.7,jellicent:767;lanturn:685;morpeko_full_belly:632;toxapex:621;sableye_shadow:614,azumarill:259;araquanid:330;gastrodon:369;kingdra:487;mandibuzz:494
annihilape,Annihilape,89.1,123.3,105.2,140,1817,LOW_KICK,RAGE_FIST,CLOSE_COMBAT,94.2,80.5,82.9,75.5,zweilous:725;kingdra:721;toxapex:646;malamar:639;lanturn:585,jellicent:282;mandibuzz:308;morpeko_full_belly:334;sableye_shadow:336;mantine:376
