speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
dewgong,Dewgong,95.9,101.9,136.9,157,2192,ICE_SHARD,AQUA_JET,DRILL_RUN,90.9,83.1,93.9,98.6,ninetales_alolan:633;runerigus:614;hypno:608;weezing_galarian:595;qwilfish:589,golisopod:328;glalie:342;arctibax:453;slowking_galarian:485;skeledirge:496
ninetales_alolan,Ninetales (Alolan),95.5,114.5,136.1,125,1949,POWDER_SNOW,WEATHER_BALL_ICE,PSYSHOCK,91.2,80.6,91.9,100,arctibax:772;runerigus:728;qwilfish:608;weezing:540;cofagrigus:540,skeledirge:320;dewgong:366;slowking_galarian:369;glalie:478;golisopod:495
golisopod,Golisopod,94.5,124,134.6,108,1804,SHADOW_CLAW,AQUA_JET,X_SCISSOR,92.3,86.9,97.4,90.1,skeledirge:833;starmie:703;runerigus:689;dewgong:671;ninetales_alolan:504,arctibax:357;glalie:421;qwilfish:434;weezing_galarian:439;slowking_galarian:492
weezing_galarian,Weezing (Galarian),93.9,117.6,139.5,116,1905,FAIRY_WIND,SLUDGE,BRUTAL_SWING,93.2,89.1,97,90.6,arctibax:698;glalie:616;skeledirge:599;golisopod:560;ninetales_alolan:512,hypno:278;slowking_galarian:293;qwilfish:313;dewgong:404;starmie:466
glalie,Glalie,93.8,115.2,120.7,140,1948,ROLLOUT,SHADOW_BALL,AVALANCHE,87.9,82.9,100,83.5,dewgong:657;golisopod:578;slowking_galarian:571;froslass:567;ninetales_alolan:521,skeledirge:205;weezing_galarian:383;runerigus:408;hypno:411;arctibax:417
arctibax,Arctibax,93.6,122.8,98.5,151,1829,DRAGON_BREATH,DRAGON_CLAW,ICY_WIND,100,76.5,90.8,68.9,golisopod:642;glalie:582;skeledirge:572;dewgong:546;runerigus:526,ninetales_alolan:228;castform_snowy:260;weezing_galarian:301;starmie:336;piloswine:490
piloswine,Piloswine,93.6,121,99.4,154,1855,POWDER_SNOW,ICICLE_SPEAR,STONE_EDGE,88.9,79.6,99.2,67.5,runerigus:688;ninetales_alolan:607;glalie:603;slowking_galarian:603;arctibax:509,dewgong:140;golisopod:143;starmie:149;skeledirge:284;cofagrigus:463
hypno,Hypno,93.5,103.4,142.9,147,2174,CONFUSION,PSYSHOCK,SHADOW_BALL,91.5,87.6,97.9,85.4,weezing_galarian:721;glalie:588;runerigus:578;slowking_galarian:557;ninetales_alolan:547,cofagrigus:224;skeledirge:262;dewgong:391;arctibax:463;golisopod:476
tentacruel,Tentacruel,93.5,108.9,143.5,131,2047,ACID,SCALD,PAYBACK,90.5,83.2,98.3,78.2,golisopod:683;glalie:664;ninetales_alolan:633;skeledirge:614;slowking_galarian:572,hypno:166;arctibax:241;starmie:293;runerigus:389;dewgong:414
qwilfish,Qwilfish,93.1,131.1,105.5,123,1703,POISON_STING,AQUA_TAIL,SHADOW_BALL,90.2,86.3,97.8,74.7,skeledirge:796;weezing_galarian:686;glalie:573;golisopod:565;runerigus:540,ninetales_alolan:392;arctibax:394;dewgong:410;hypno:418;slowking_galarian:492
starmie,Starmie,92.5,133.1,122,104,1690,PSYWAVE,AQUA_JET,POWER_GEM,93.2,99,83.6,66.7,dewgong:841;ninetales_alolan:701;arctibax:663;skeledirge:663;glalie:649,runerigus:178;golisopod:296;hypno:367;cofagrigus:426;slowking_galarian:489
arbok,Arbok,91.9,123.7,120.1,122,1814,ACID,BRUTAL_SWING,WRAP,87.6,84.3,92.8,76.9,starmie:606;weezing_galarian:594;runerigus:569;glalie:545;golisopod:536,slowking_galarian:398;dewgong:401;skeledirge:410;arctibax:440;ninetales_alolan:456
runerigus,Runerigus,91.2,111.7,165.3,109,2013,SHADOW_CLAW,BRUTAL_SWING,ROCK_TOMB,89.7,91,89,73.9,starmie:821;skeledirge:770;slowking_galarian:715;weezing:614;glalie:591,ninetales_alolan:272;golisopod:310;dewgong:385;weezing_galarian:469;arctibax:473
cofagrigus,Cofagrigus,90.8,111.7,165.3,109,2013,SHADOW_CLAW,SHADOW_BALL,DARK_PULSE,94,93.1,93.7,64.5,dewgong:564;golisopod:555;glalie:527;slowking_galarian:522;runerigus:513,weezing_galarian:327;skeledirge:348;tentacruel:404;ninetales_alolan:460;arctibax:486
swalot,Swalot,90.8,103.4,122.6,171,2169,MUD_SHOT,SLUDGE,ICE_BEAM,80.4,70.7,92.8,91.2,weezing_galarian:716;arbok:695;weezing:684;qwilfish:614;runerigus:540,ninetales_alolan:384;skeledirge:402;arctibax:417;glalie:446;golisopod:458
ledian,Ledian,90.5,101.3,162.5,134,2208,ROLLOUT,ACROBATICS,DYNAMIC_PUNCH,87.2,68,96.3,77.4,qwilfish:731;golisopod:705;skeledirge:555;arctibax:537;dewgong:537,runerigus:77;glalie:178;slowking_galarian:416;ninetales_alolan:476;weezing_galarian:482
weezing,Weezing,90.1,117.5,140.2,116,1913,ROLLOUT,DARK_PULSE,SHADOW_BALL,86.9,81.8,96.5,63.7,skeledirge:625;glalie:581;golisopod:577;tentacruel:551;slowking_galarian:508,runerigus:385;arctibax:387;weezing_galarian:409;dewgong:410;ninetales_alolan:460
skeledirge,Skeledirge,89.7,121.2,109.7,139,1849,HEX,SHADOW_BALL,TORCH_SONG,89.5,78,88.2,72.8,glalie:794;hypno:737;ninetales_alolan:679;slowking_galarian:640;dewgong:503,golisopod:166;qwilfish:203;runerigus:229;weezing_galarian:400;arctibax:427
slowbro,Slowbro,89.6,113.4,120.9,144,1975,CONFUSION,DRAIN_PUNCH,SCALD,94.3,74.5,81.5,89.5,ninetales_alolan:781;dewgong:652;arctibax:628;glalie:600;runerigus:552,skeledirge:284;cofagrigus:284;froslass:303;golisopod:375;hypno:397
vanillish,Vanillish,89.4,123.6,120.5,122,1818,ASTONISH,ICY_WIND,SIGNAL_BEAM,89.4,87,82.7,74.1,slowking_galarian:569;golisopod:528;hypno:528;runerigus:524;ninetales_alolan:516,skeledirge:381;arctibax:430;dewgong:452;weezing_galarian:456;glalie:496
castform_snowy,Castform (Snowy),89.2,112.6,121.2,146,1994,POWDER_SNOW,WEATHER_BALL_ICE,ICE_BEAM,88.4,72.4,86.9,89,arctibax:739;runerigus:695;slowking_galarian:575;ninetales_alolan:568;hypno:534,skeledirge:258;dewgong:283;glalie:364;golisopod:384;weezing_galarian:392
charjabug,Charjabug,89,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,CRUNCH,84.4,76.8,93,78.5,starmie:746;qwilfish:686;golisopod:634;dewgong:567;slowking_galarian:555,skeledirge:219;runerigus:284;arctibax:314;ninetales_alolan:392;glalie:453
dragalge,Dragalge,89,117.8,143.1,113,1906,DRAGON_TAIL,AQUA_TAIL,OUTRAGE,87.4,56,90.4,77.4,runerigus:659;golisopod:650;skeledirge:553;slowking_galarian:517;glalie:513,ninetales_alolan:200;dewgong:245;arctibax:380;hypno:408;weezing_galarian:413
slowking_galarian,Slowking (Galarian),88.9,117.3,117.9,138,1910,ACID,PSYSHOCK,SHADOW_BALL,87.4,87.6,91.7,71.1,weezing_galarian:706;ninetales_alolan:630;dewgong:514;golisopod:507;qwilfish:507,runerigus:284;skeledirge:359;arctibax:394;glalie:428;hypno:442
amoonguss,Amoonguss,88.6,109.3,105.9,177,2050,ASTONISH,FOUL_PLAY,GRASS_KNOT,89.5,70.4,91.2,75,runerigus:666;golisopod:644;skeledirge:564;dewgong:562;glalie:548,ninetales_alolan:200;arctibax:367;hypno:452;starmie:466;weezing:478
avalugg,Avalugg,87.9,111.7,141.3,127,2007,BITE,AVALANCHE,BODY_SLAM,87.2,84.3,89.3,82.1,runerigus:708;cofagrigus:578;glalie:570;weezing:527;hypno:523,arctibax:350;ninetales_alolan:428;skeledirge:438;golisopod:449;dewgong:455
drifblim,Drifblim,87.8,119.1,75.7,209,1887,ASTONISH,MYSTICAL_FIRE,SHADOW_BALL,86.9,65.6,84,69.5,starmie:770;slowking_galarian:688;hypno:614;glalie:504;golisopod:502,ninetales_alolan:220;weezing_galarian:280;runerigus:357;arctibax:433;skeledirge:492
froslass,Froslass,87.8,122.5,114.8,130,1831,HEX,AVALANCHE,SHADOW_BALL,81.8,54.9,98.1,49.7,hypno:719;slowking_galarian:653;cofagrigus:626;dewgong:623;runerigus:503,golisopod:166;ninetales_alolan:348;arctibax:387;skeledirge:413;glalie:432
wormadam_sandy,Wormadam (Sandy),87.7,110,144.8,128,2040,SUCKER_PUNCH,BULLDOZE,BUG_BUZZ,79,64.8,96.7,72.2,slowking_galarian:644;weezing_galarian:597;hypno:597;glalie:527;runerigus:503,dewgong:242;arctibax:304;golisopod:351;skeledirge:374;ninetales_alolan:380
baxcalibur,Baxcalibur,87.6,135.6,95.7,127,1650,DRAGON_BREATH,GLAIVE_RUSH,ICY_WIND,90,68.9,89.3,46.9,arctibax:582;golisopod:547;dewgong:535;skeledirge:519;glalie:515,runerigus:215;cofagrigus:233;ninetales_alolan:240;hypno:258;weezing_galarian:301
