speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore
empoleon_shadow,Empoleon (Shadow),95.2,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK,93.9,90.9,99.2,71.9
tentacruel,Tentacruel,95.2,108.9,143.5,131,2047,ACID,SCALD,PAYBACK,94.4,96.8,97.6,82.7
empoleon,Empoleon,95.1,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK,97,94.7,96,79.4
tinkaton,Tinkaton,94.7,106.2,140.9,141,2110,FAIRY_WIND,GIGATON_HAMMER,BULLDOZE,94.7,99.5,97.3,100
weezing_galarian_shadow,Weezing (Galarian) (Shadow),94,117.6,139.5,116,1905,FAIRY_WIND,SLUDGE,OVERHEAT,91.1,88.5,100,70.1
victreebel_shadow,Victreebel (Shadow),93.7,135.1,93.5,131,1656,ACID,LEAF_BLADE,SLUDGE_BOMB,100,100,93.6,51.3
jellicent,Jellicent,92.9,106.6,126.3,156,2102,HEX,SURF,SHADOW_BALL,92.6,85.4,97.1,83.4
klefki,Klefki,92.9,117.9,137.4,117,1897,ASTONISH,FOUL_PLAY,PLAY_ROUGH,93.2,93.9,94.4,82.9
ferrothorn,Ferrothorn,92.8,107.1,152.7,128,2094,BULLET_SEED,POWER_WHIP,FLASH_CANNON,85.2,63,99.6,87.9
tentacruel_shadow,Tentacruel (Shadow),92.6,108.9,143.5,131,2047,ACID,SCALD,PAYBACK,91.3,96.8,96.9,64.6
araquanid,Araquanid,91.4,97.4,174,136,2306,BUG_BITE,BUBBLE_BEAM,BUG_BUZZ,94.7,78.2,92.7,99.7
lapras,Lapras,91.2,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,90.4,89.2,93.9,70.9
walrein,Walrein,91.1,112.4,114.9,154,1991,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE,92.1,90.3,94.3,67.9
weezing_galarian,Weezing (Galarian),90.9,117.6,139.5,116,1905,FAIRY_WIND,SLUDGE,OVERHEAT,89.5,64.5,94.6,84.7
mantine,Mantine,90.6,105.5,166.5,121,2127,WING_ATTACK,AERIAL_ACE,ICE_BEAM,89.3,78.4,93,88.9
mawile,Mawile,90.2,124.7,120.8,119,1794,ASTONISH,VICE_GRIP,IRON_HEAD,89.3,86.5,91.4,82.4
victreebel,Victreebel,89.9,135.1,93.5,131,1656,ACID,LEAF_BLADE,SLUDGE_BOMB,92.2,83.6,88.4,59.1
seaking,Seaking,89.8,121.9,108.9,138,1834,PECK,DRILL_RUN,ICY_WIND,92.9,90.1,84.5,72.4
