speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
cradily,Cradily,96.2,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT,98.5,87.4,96.6,82.7,quagsire_shadow:777;stunfisk:614;kingdra:597;ninetales_shadow:593;lickilicky:576,forretress_shadow:304;empoleon:389;furret:437;jellicent:467;lapras:483
kingdra,Kingdra,95.8,121.8,127.9,118,1839,DRAGON_BREATH,SURF,SWIFT,98.1,98.1,94,90.5,ninetales_shadow:826;stunfisk:656;quagsire_shadow:644;empoleon:614;lickilicky:597,furret:378;cradily:402;jellicent:426;forretress_shadow:437;lapras:463
kingdra_shadow,Kingdra (Shadow),95.5,121.8,127.9,118,1839,DRAGON_BREATH,SURF,SWIFT,100,96.9,94.5,79.5,ninetales_shadow:809;furret:741;stunfisk:661;lickilicky:622;empoleon:576,lapras:343;jellicent:371;cradily:402;mantine:409;forretress_shadow:484
forretress,Forretress,95.1,109.7,145.4,128,2044,BUG_BITE,SAND_TOMB,ROCK_TOMB,92.5,59.3,87.4,100,cradily:710;furret:636;kingdra:593;lickilicky:558;stunfisk:515,ninetales_shadow:150;turtonator:172;jellicent:355;mantine:355;empoleon:491
furret,Furret,94.2,115.3,105.4,160,1946,SUCKER_PUNCH,SWIFT,TRAILBLAZE,96,95,89.4,82,jellicent:734;kingdra:621;empoleon:575;lickilicky:565;cradily:562,crustle:286;forretress_shadow:359;turtonator:415;stunfisk:459;ninetales_shadow:464
toxapex,Toxapex,93.8,91.9,224.3,118,2433,POISON_JAB,BRINE,SLUDGE_WAVE,86.7,66.7,98.2,95.5,ninetales_shadow:741;turtonator:733;mantine:665;furret:648;kingdra:546,empoleon:270;forretress_shadow:300;jellicent:333;lickilicky:387;cradily:493
empoleon,Empoleon,93.2,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK,88.2,93.3,97.7,73,crustle:831;lickilicky:631;ninetales_shadow:622;cradily:610;lapras:581,jellicent:294;stunfisk:377;kingdra:385;forretress_shadow:410;furret:425
lickilicky,Lickilicky,92.9,105.7,125.5,160,2124,ROLLOUT,BODY_SLAM,SHADOW_BALL,94.8,92.4,93.8,84.2,lapras:618;jellicent:615;fearow:596;turtonator:584;quagsire_shadow:568,forretress_shadow:367;empoleon:368;kingdra:402;cradily:423;stunfisk:436
forretress_shadow,Forretress (Shadow),92.8,109.7,145.4,128,2044,BUG_BITE,SAND_TOMB,ROCK_TOMB,92,57,87.4,95.5,cradily:695;stunfisk:675;lickilicky:632;empoleon:589;kingdra:562,turtonator:194;ninetales_shadow:206;crustle:421;jellicent:442;quagsire_shadow:444
drampa,Drampa,92.7,136.8,104.2,115,1640,DRAGON_BREATH,SWIFT,DRAGON_PULSE,97.6,92.7,90.1,70,jellicent:726;ninetales_shadow:682;stunfisk:656;lickilicky:608;kingdra:604,cradily:305;empoleon:331;lapras:357;forretress_shadow:402;furret:440
lapras,Lapras,92.7,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,90.5,84.8,94.5,78.8,quagsire_shadow:720;fearow:620;ninetales_shadow:594;kingdra:536;cradily:516,jellicent:358;lickilicky:381;stunfisk:412;empoleon:418;forretress_shadow:449
crustle,Crustle,92.3,120.3,134.7,115,1864,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER,91.5,97.2,96.8,62.3,cradily:891;furret:713;ninetales_shadow:595;forretress_shadow:578;lickilicky:560,empoleon:168;jellicent:250;kingdra:258;stunfisk:398;quagsire_shadow:437
turtonator,Turtonator,92.1,113.5,153.6,113,1971,INCINERATE,BRUTAL_SWING,DRAGON_CLAW,93,93.5,91.8,86,forretress_shadow:805;empoleon:637;stunfisk:623;furret:584;jellicent:575,kingdra:241;quagsire_shadow:288;crustle:382;lickilicky:415;cradily:465
jumpluff,Jumpluff,91.9,96.7,156.9,153,2323,FAIRY_WIND,ENERGY_BALL,ACROBATICS,88.4,75.4,94.8,91.7,kingdra:735;jellicent:689;stunfisk:676;furret:591;lickilicky:529,ninetales_shadow:234;empoleon:340;lapras:340;cradily:381;forretress_shadow:390
dunsparce,Dunsparce,91.8,104.7,110.9,184,2139,ROLLOUT,DRILL_RUN,ROCK_SLIDE,91,90.4,93.8,83.5,ninetales_shadow:690;lapras:668;fearow:657;mantine:649;jellicent:581,forretress_shadow:328;kingdra:343;cradily:347;empoleon:397;lickilicky:412
oranguru,Oranguru,91.5,110.1,130,142,2035,CONFUSION,BRUTAL_SWING,TRAILBLAZE,93.7,83.4,86.2,85,jellicent:732;lapras:700;kingdra:591;stunfisk:556;cradily:542,forretress_shadow:261;furret:284;lickilicky:443;ninetales_shadow:452;empoleon:463
miltank,Miltank,90.8,105.3,134.8,150,2131,ROLLOUT,BODY_SLAM,THUNDERBOLT,91.9,86.8,89.7,83.2,mantine:743;fearow:650;lapras:626;charjabug:616;jellicent:603,cradily:326;forretress_shadow:343;kingdra:364;lickilicky:434;empoleon:475
empoleon_shadow,Empoleon (Shadow),90.7,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK,86.1,92.7,95,61.8,cradily:897;forretress_shadow:610;lapras:569;lickilicky:540;ninetales_shadow:508,stunfisk:81;quagsire_shadow:114;jellicent:294;kingdra:423;furret:487
greedent,Greedent,90.7,106.8,110.7,177,2094,MUD_SHOT,BODY_SLAM,TRAILBLAZE,89.7,90.1,89.4,84.7,jellicent:759;stunfisk:745;lapras:666;empoleon:598;kingdra:567,forretress_shadow:300;cradily:357;furret:365;lickilicky:400;ninetales_shadow:472
charjabug,Charjabug,90.4,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,DISCHARGE,88.7,82.2,92.9,80,mantine:837;empoleon:646;jellicent:591;fearow:583;lapras:579,cradily:305;lickilicky:368;forretress_shadow:421;kingdra:453;stunfisk:491
jellicent,Jellicent,90.4,106.6,126.3,156,2102,HEX,SURF,SHADOW_BALL,91.5,73.4,91.1,85.5,empoleon:705;ninetales_shadow:608;kingdra:573;forretress_shadow:557;cradily:532,furret:265;stunfisk:363;fearow:366;lickilicky:384;turtonator:424
