speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
cradily,Cradily,95.1,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT,100,86.3,90.1,88.4,ninetales_shadow:718;fearow:666;miltank:597;lickilicky:576;piloswine:513,toucannon_shadow:296;blaziken_shadow:306;clodsire:391;furret:437;gligar_shadow:454
coalossal,Coalossal,93.7,98.1,139.3,167,2285,FIRE_SPIN,ROCK_SLIDE,FLAME_CHARGE,90.1,58.7,84.5,100,ninetales_shadow:811;furret:625;miltank:592;fearow:550;blaziken_shadow:547,gligar_shadow:232;clodsire:283;cradily:385;lickilicky:446;piloswine:451
toucannon_shadow,Toucannon (Shadow),93.4,137.2,96.7,123,1634,PECK,BEAK_BLAST,DRILL_PECK,98.8,100,94.2,50.2,cradily:703;furret:670;fearow:670;gligar_shadow:524;piloswine:508,ninetales_shadow:226;stunfisk_galarian:345;miltank:426;lickilicky:446;clodsire:490
oranguru,Oranguru,92.5,110.1,130,142,2035,CONFUSION,BRUTAL_SWING,TRAILBLAZE,97.4,89.5,84.2,82.7,clodsire:658;gligar_shadow:626;piloswine:605;fearow:552;cradily:542,furret:284;ninetales_shadow:400;pidgeot:411;lickilicky:443;miltank:456
clodsire,Clodsire,92.1,95,119.7,208,2367,POISON_STING,EARTHQUAKE,STONE_EDGE,90.6,66.6,97.7,79.6,ninetales_shadow:752;lickilicky:625;cradily:608;blaziken_shadow:555;miltank:512,quagsire_shadow:83;piloswine:87;gligar_shadow:332;furret:356;pidgeot:485
furret,Furret,92,115.3,105.4,160,1946,SUCKER_PUNCH,SWIFT,TRAILBLAZE,96.4,91.8,83.3,77.8,piloswine:771;clodsire:643;miltank:571;gligar_shadow:565;cradily:562,blaziken_shadow:193;gliscor:284;toucannon_shadow:329;pidgeot:387;ninetales_shadow:416
miltank,Miltank,91.9,105.3,134.8,150,2131,ROLLOUT,BODY_SLAM,ICE_BEAM,93.1,90.8,90.1,90.4,gliscor:850;gligar_shadow:756;pidgeot:716;fearow:650;toucannon_shadow:573,piloswine:366;ninetales_shadow:388;cradily:402;furret:428;clodsire:487
blaziken_shadow,Blaziken (Shadow),91.1,143.9,90.8,119,1556,EMBER,AURA_SPHERE,BLAST_BURN,93.8,71.7,100,44.3,miltank:819;furret:806;piloswine:806;cradily:693;ninetales_shadow:600,quagsire_shadow:102;toucannon_shadow:174;gligar_shadow:175;fearow:197;clodsire:444
pidgeot,Pidgeot,90.8,116.9,115.5,142,1918,WING_ATTACK,TWISTER,BRAVE_BIRD,87.1,81.6,97.1,85.5,gliscor:771;gligar_shadow:672;furret:612;fearow:542;clodsire:514,piloswine:165;ninetales_shadow:202;cradily:281;miltank:283;blaziken_shadow:424
gligar_shadow,Gligar (Shadow),90.2,108.4,145.3,131,2065,WING_ATTACK,NIGHT_SLASH,DIG,93.9,83.4,83.3,85,blaziken_shadow:824;clodsire:667;lickilicky:625;stunfisk_galarian:622;cradily:545,miltank:243;piloswine:318;ninetales_shadow:333;fearow:411;furret:434
turtonator,Turtonator,90.2,113.5,153.6,113,1971,INCINERATE,BRUTAL_SWING,DRAGON_CLAW,92.8,91.1,86,83.5,piloswine:818;ninetales_shadow:712;miltank:592;furret:584;blaziken_shadow:575,fearow:278;clodsire:326;gligar_shadow:362;lickilicky:415;cradily:465
gligar,Gligar,90,108.4,145.3,131,2065,WING_ATTACK,NIGHT_SLASH,DIG,90.6,81.7,85.3,92.2,clodsire:687;stunfisk_galarian:660;ninetales:564;fearow:538;ninetales_shadow:515,miltank:226;piloswine:266;cradily:406;furret:415;blaziken_shadow:470
blaziken,Blaziken,89.9,143.9,90.8,119,1556,EMBER,AURA_SPHERE,BLAST_BURN,94.6,90.7,92.6,58.7,piloswine:844;furret:806;miltank:609;fearow:579;gligar_shadow:529,quagsire_shadow:77;clodsire:367;ninetales_shadow:428;cradily:434;lickilicky:487
lickilicky,Lickilicky,89.8,105.7,125.5,160,2124,ROLLOUT,BODY_SLAM,SHADOW_BALL,91.1,88.6,86,83.2,fearow:596;miltank:565;gliscor:559;pidgeot:525;quagsire_shadow:503,gligar_shadow:374;clodsire:375;ninetales_shadow:388;cradily:423;furret:434
