speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
castform,Castform,97,112.6,121.2,146,1994,HEX,WEATHER_BALL_ROCK,ENERGY_BALL,99.4,85,93,99.4,dusclops:695;lunatone:616;solrock:616;sealeo:575;aromatisse:561,cetitan:368;lopunny:375;florges:427;sylveon:496;walrein_shadow:496
aromatisse,Aromatisse,96.9,115.8,107.3,156,1939,FAIRY_WIND,PSYSHOCK,MOONBLAST,97.9,92.9,93.2,100,lopunny:625;lunatone:605;solrock:605;dusclops:541;cetitan:528,sylveon:330;castform:438;sealeo:446;florges:468;walrein_shadow:496
sealeo,Sealeo,96.7,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM,100,98.9,88.5,93.5,florges:654;sylveon:627;aromatisse:553;lunatone:523;solrock:523,snorlax_shadow:318;cetitan:396;castform:424;walrein_shadow:425;lopunny:427
sylveon,Sylveon,95.6,117.3,124.6,130,1902,FAIRY_WIND,PSYSHOCK,SHADOW_BALL,99.3,95.3,90.3,88.4,aromatisse:669;lunatone:550;solrock:550;cetitan:523;castform:503,graveler_alolan:323;walrein_shadow:340;sealeo:372;florges:409;munchlax:415
cetitan,Cetitan,95.3,120.1,77,202,1871,POWDER_SNOW,ICICLE_SPEAR,SUPER_POWER,98.3,96.2,100,72.5,gourgeist_super:680;castform:631;sealeo:603;florges:599;lopunny:534,lunatone:424;solrock:424;aromatisse:471;sylveon:476;walrein_shadow:490
walrein_shadow,Walrein (Shadow),94.7,112.4,114.9,154,1991,WATERFALL,ICICLE_SPEAR,EARTHQUAKE,100,86,89.9,68,sylveon:659;sealeo:574;cetitan:509;aromatisse:503;castform:503,whimsicott:207;decidueye:210;lunatone:437;solrock:437;graveler_alolan:456
sealeo_shadow,Sealeo (Shadow),94.5,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM,96.2,100,87.5,83,aromatisse:660;sylveon:660;florges:657;gourgeist_super:553;castform:538,lunatone:303;solrock:303;cetitan:339;walrein_shadow:470;lopunny:483
florges,Florges,94.4,120,141.5,110,1870,FAIRY_WIND,CHILLING_WATER,DISARMING_VOICE,93.5,93.4,89.9,94,lopunny:668;sylveon:590;castform:572;snorlax_shadow:568;aromatisse:531,sealeo:345;walrein_shadow:383;cetitan:400;lunatone:448;solrock:448
snorlax,Snorlax,94.2,108.4,102.2,187,2073,LICK,BODY_SLAM,SUPER_POWER,98.3,89,90.3,83.6,lunatone:673;solrock:673;castform:622;cetitan:614;sylveon:532,lopunny:278;aromatisse:355;florges:409;gourgeist_super:418;sealeo:464
lopunny,Lopunny,94.1,112,143.6,124,1996,LOW_KICK,SHADOW_BALL,FIRE_PUNCH,95.7,90.7,93.7,94.9,castform:625;dusclops:625;lunatone:604;solrock:604;sealeo:572,florges:331;sylveon:361;aromatisse:375;walrein_shadow:402;cetitan:465
lunatone,Lunatone,93.6,119.1,108.6,145,1876,PSYWAVE,ROCK_SLIDE,WEATHER_BALL_ICE,98.9,90.7,87.5,80.7,gourgeist_super:620;cetitan:575;solrock:565;walrein_shadow:562;florges:551,castform:383;aromatisse:394;lopunny:395;sylveon:450;sealeo:476
solrock,Solrock,92.6,119.1,108.6,145,1876,PSYWAVE,ROCK_SLIDE,WEATHER_BALL_FIRE,96.6,90.5,86.6,83.3,gourgeist_super:620;munchlax:613;cetitan:575;walrein_shadow:562;florges:551,castform:383;aromatisse:394;lunatone:434;sylveon:450;sealeo:476
