speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
jellicent,Jellicent,95.8,106.6,126.3,156,2102,HEX,SURF,SHADOW_BALL,90.4,78.7,100,96.6,araquanid:727;golisopod:714;empoleon:705;toxapex:666;lapras:560,abomasnow:150;ludicolo:152;kingdra:173;lanturn:360;cradily:402
kingdra,Kingdra,95.8,121.8,127.9,118,1839,DRAGON_BREATH,OUTRAGE,SWIFT,98,99.6,97.3,87.4,jellicent:826;lapras:665;ludicolo:652;cradily:563;araquanid:512,abomasnow:381;sandslash_alolan:452;golisopod:476;empoleon:487;lanturn:492
ludicolo,Ludicolo,95.8,116.4,123.6,134,1931,ASTONISH,WEATHER_BALL_WATER,ENERGY_BALL,96.2,94.9,95.4,87.4,jellicent:847;lanturn:772;lapras:701;cradily:593;empoleon:585,golisopod:231;araquanid:338;kingdra:347;toxapex:377;abomasnow:395
lanturn,Lanturn,94.8,104.8,105.5,194,2145,SPARK,SURF,THUNDERBOLT,93.9,64.9,99.8,85,empoleon:804;lapras:742;jellicent:639;toxapex:520;kingdra:507,abomasnow:108;ludicolo:227;cradily:250;gastrodon:297;sandslash_alolan:468
cradily,Cradily,93.9,105.2,140.3,144,2126,BULLET_SEED,ROCK_TOMB,GRASS_KNOT,93.4,91,95,87.9,lanturn:750;blastoise:750;gyarados:718;jellicent:597;toxapex:513,araquanid:279;ludicolo:406;empoleon:430;kingdra:436;lapras:477
kingdra_shadow,Kingdra (Shadow),93.7,121.8,127.9,118,1839,DRAGON_BREATH,SWIFT,OUTRAGE,100,100,94.5,64,lanturn:792;jellicent:694;lapras:690;ludicolo:605;cradily:546,bastiodon:269;abomasnow:297;mantine:396;golisopod:462;sandslash_alolan:464
abomasnow,Abomasnow,93.5,117.8,112,143,1888,LEAFAGE,WEATHER_BALL_ICE,ENERGY_BALL,96.7,69.2,91.3,92.5,lanturn:891;jellicent:849;kingdra:618;ludicolo:604;cradily:594,empoleon:266;araquanid:308;toxapex:322;sandslash_alolan:324;golisopod:356
abomasnow_shadow,Abomasnow (Shadow),93.3,117.8,112,143,1888,LEAFAGE,WEATHER_BALL_ICE,ENERGY_BALL,96.7,71.8,90.8,84.5,lanturn:891;jellicent:825;kingdra:702;ludicolo:622;cradily:531,araquanid:238;empoleon:319;toxapex:351;golisopod:379;sandslash_alolan:412
araquanid,Araquanid,92.5,97.4,174,136,2306,BUG_BITE,BUG_BUZZ,BUBBLE_BEAM,96.8,88.9,94.6,100,cradily:720;abomasnow:691;ludicolo:661;lapras:617;empoleon:547,jellicent:272;bastiodon:287;toxapex:364;mantine:413;kingdra:487
empoleon,Empoleon,92.3,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK,87.9,88.3,94.5,88.4,abomasnow:733;toxapex:729;lapras:581;cradily:569;kingdra:512,lanturn:195;jellicent:294;ludicolo:414;sandslash_alolan:432;araquanid:452
