speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
muk_alolan,Muk (Alolan),97.8,115.8,111.7,148,1916,POISON_JAB,BRUTAL_SWING,ICE_PUNCH,100,98.8,89.5,94.6,grimmsnarl:695;mandibuzz:621;morpeko_full_belly:577;drapion_shadow:533;sableye_shadow:516,kingambit:298;claydol:305;annihilape_shadow:457;samurott_hisuian:473;malamar:482
mandibuzz,Mandibuzz,97.3,92.1,151.2,175,2440,AIR_SLASH,DARK_PULSE,AERIAL_ACE,94.1,82.1,96.6,100,annihilape_shadow:620;sableye_shadow:585;malamar:562;drapion_shadow:534;greninja:522,morpeko_full_belly:194;kingambit:330;muk_alolan:378;metang:414;grimmsnarl:417
morpeko_full_belly,Morpeko (Hangry),95,140.4,96.2,118,1596,THUNDER_SHOCK,AURA_WHEEL_ELECTRIC,PSYCHIC_FANGS,97.3,84.3,98,77.6,malamar:881;mandibuzz:805;sableye_shadow:805;greninja:682;drapion_shadow:559,claydol:128;muk_alolan:422;grimmsnarl:424;metang:472;annihilape_shadow:485
murkrow_shadow,Murkrow (Shadow),94.6,143.1,81.1,135,1568,PECK,DRILL_PECK,FOUL_PLAY,96.8,98.4,99.4,53,claydol:818;sableye_shadow:737;malamar:737;grimmsnarl:700;annihilape_shadow:629,morpeko_full_belly:233;drapion_shadow:309;greninja:356;kingambit:419;mandibuzz:420
sableye,Sableye,94.6,119.6,124.6,125,1864,SHADOW_CLAW,FOUL_PLAY,DAZZLING_GLEAM,87.1,85.4,99.4,82.2,metang:836;claydol:708;malamar:628;annihilape_shadow:612;greninja:548,morpeko_full_belly:156;grimmsnarl:270;sableye_shadow:432;mandibuzz:454;drapion_shadow:487
drapion,Drapion,94.4,117.8,136.8,118,1903,POISON_STING,CRUNCH,AQUA_TAIL,96.3,98.1,86.9,91.3,sableye_shadow:614;malamar:572;mandibuzz:563;greninja:555;grimmsnarl:525,morpeko_full_belly:394;guzzlord:401;annihilape_shadow:407;kingambit:415;thievul:484
greninja_shadow,Greninja (Shadow),93.9,139.5,100.3,115,1611,WATER_SHURIKEN,HYDRO_CANNON,BRUTAL_SWING,98.9,84,100,56.6,sableye_shadow:760;malamar:734;mandibuzz:647;drapion_shadow:621;grimmsnarl:613,guzzlord:294;morpeko_full_belly:394;metang:449;annihilape_shadow:457;muk_alolan:483
muk_alolan_shadow,Muk (Alolan) (Shadow),93.5,115.8,111.7,148,1916,POISON_JAB,BRUTAL_SWING,ICE_PUNCH,92.1,93.3,90.7,85.4,grimmsnarl:814;mandibuzz:577;malamar:574;morpeko_full_belly:520;greninja:516,annihilape_shadow:217;kingambit:274;claydol:363;metang:399;sableye_shadow:448
annihilape_shadow,Annihilape (Shadow),92.8,123.3,105.2,140,1817,LOW_KICK,RAGE_FIST,ICE_PUNCH,91.4,100,78.5,80,grimmsnarl:889;greninja:825;drapion_shadow:660;muk_alolan:542;morpeko_full_belly:514,rapidash_galarian:160;mandibuzz:380;claydol:442;sableye_shadow:452;malamar:453
annihilape,Annihilape,92.4,123.3,105.2,140,1817,LOW_KICK,RAGE_FIST,ICE_PUNCH,90.3,92.5,83,93.5,grimmsnarl:925;muk_alolan:610;drapion_shadow:592;metang:571;greninja:550,mandibuzz:308;sableye_shadow:368;claydol:384;morpeko_full_belly:385;malamar:442
throh,Throh,91.8,110.2,107.7,171,2032,LOW_KICK,BRICK_BREAK,BODY_SLAM,85.6,75.6,78.1,99.4,morpeko_full_belly:687;greninja:637;muk_alolan:611;metang:561;drapion_shadow:532,annihilape_shadow:321;mandibuzz:397;sableye_shadow:428;malamar:442;grimmsnarl:481
guzzlord,Guzzlord,91.6,113.2,66,265,1983,DRAGON_TAIL,BRUTAL_SWING,DRAGON_CLAW,84.4,49.9,86.9,94.3,greninja:749;drapion_shadow:713;morpeko_full_belly:688;sableye_shadow:654;mandibuzz:590,grimmsnarl:187;annihilape_shadow:217;kingambit:258;muk_alolan:489;claydol:491
grimmsnarl,Grimmsnarl,91.2,136.2,90.8,133,1646,LOW_KICK,FOUL_PLAY,DRAINING_KISS,84.6,95.7,91.7,66.3,kingambit:781;umbreon:744;sableye_shadow:631;mandibuzz:582;morpeko_full_belly:575,annihilape_shadow:110;malamar:183;greninja:317;claydol:334;drapion_shadow:377
pawmot,Pawmot,91,145,95.4,112,1552,THUNDER_SHOCK,BRICK_BREAK,WILD_CHARGE,98.8,74.4,95.2,54.7,mandibuzz:808;grimmsnarl:727;sableye_shadow:638;drapion_shadow:558;morpeko_full_belly:526,hatterene:130;rapidash_galarian:227;claydol:264;kommo_o:344;guzzlord:375
claydol,Claydol,90.9,103.5,172.6,121,2164,MUD_SLAP,ROCK_TOMB,EARTH_POWER,90.6,61.7,94.5,64.9,morpeko_full_belly:871;grimmsnarl:665;drapion_shadow:648;malamar:636;annihilape_shadow:557,sableye_shadow:204;thievul:287;umbreon:349;greninja:356;mandibuzz:448
malamar,Malamar,90.2,117.2,116.5,139,1899,PECK,SUPER_POWER,FOUL_PLAY,88.8,97.3,92.4,57.9,grimmsnarl:816;drapion_shadow:679;greninja:658;annihilape_shadow:546;muk_alolan:517,morpeko_full_belly:118;metang:344;claydol:363;mandibuzz:437;sableye_shadow:496
murkrow,Murkrow,90.2,143.1,81.1,135,1568,PECK,DRILL_PECK,FOUL_PLAY,90.9,94.4,90.9,59.8,sableye_shadow:774;grimmsnarl:737;annihilape_shadow:662;umbreon:629;drapion_shadow:562,morpeko_full_belly:194;greninja:278;mandibuzz:351;claydol:458;malamar:460
sableye_shadow,Sableye (Shadow),90.2,119.6,124.6,125,1864,SHADOW_CLAW,FOUL_PLAY,DRAIN_PUNCH,91.6,95.2,77.3,77,claydol:796;metang:796;greninja:596;annihilape_shadow:548;malamar:504,morpeko_full_belly:194;grimmsnarl:368;drapion_shadow:394;mandibuzz:414;muk_alolan:483
