speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
grumpig,Grumpig,98.7,147,168.7,171,4242,PSYWAVE,DYNAMIC_PUNCH,SHADOW_BALL,96.7,96.6,100,100,annihilape:710;uxie:649;greedent:646;dondozo:614;dragalge:567,crustle:156;kyurem:454;walrein:470;kingdra:486;lunatone:488
kingdra,Kingdra,96.9,156.9,165.6,153,3980,DRAGON_BREATH,SWIFT,OUTRAGE,100,100,97.6,92.2,annihilape:666;lunatone:607;greedent:591;dondozo:575;grumpig:513,crustle:243;articuno:387;kyurem:411;walrein:465;cofagrigus:482
grumpig_shadow,Grumpig (Shadow),95.7,147,168.7,171,4242,PSYWAVE,DYNAMIC_PUNCH,SHADOW_BALL,96.1,93.5,98.1,85,annihilape:654;walrein:625;kyurem:611;greedent:584;dondozo:505,crustle:213;golisopod:226;articuno:412;blastoise:475;kingdra:477
kingdra_shadow,Kingdra (Shadow),95.5,156.9,165.6,153,3980,DRAGON_BREATH,SWIFT,OUTRAGE,98.7,99.8,96,82.5,dondozo:790;lunatone:614;greedent:565;walrein:562;grumpig:522,crustle:243;annihilape:279;uxie:433;articuno:437;kyurem:454
crustle,Crustle,95.3,155,172.8,150,4022,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER,97.4,94.6,97.4,89.8,grumpig:843;kingdra:756;walrein:696;greedent:616;lunatone:510,annihilape:334;dondozo:362;milotic:383;golisopod:411;dragalge:438
greedent,Greedent,94.2,137.3,143.2,230,4527,MUD_SHOT,TRAILBLAZE,BODY_SLAM,89.5,89.8,87.9,98.7,cofagrigus:680;lunatone:667;dondozo:643;dragalge:526;walrein:510,annihilape:182;kyurem:329;grumpig:353;crustle:383;kingdra:408
dondozo,Dondozo,94.1,133.8,142.8,243,4646,WATERFALL,SURF,OUTRAGE,89.7,72,94.8,96.5,lunatone:697;articuno:689;kyurem:639;crustle:637;walrein:543,greedent:356;grumpig:385;annihilape:411;kingdra:424;dragalge:489
uxie,Uxie,93.9,131.6,229.5,157,4745,CONFUSION,SWIFT,FUTURE_SIGHT,93.2,83.2,92.3,98.5,walrein:592;greedent:573;annihilape:563;kingdra:519;kyurem:519,crustle:296;lunatone:342;grumpig:350;cofagrigus:431;dondozo:481
cofagrigus,Cofagrigus,93.1,146.6,208.6,139,4251,SHADOW_CLAW,SHADOW_BALL,DARK_PULSE,92.1,85.7,95.4,85.8,annihilape:737;lunatone:647;dondozo:579;grumpig:543;kingdra:517,greedent:319;walrein:385;kyurem:400;dragalge:445;crustle:466
annihilape,Annihilape,92.8,159,135.7,181,3907,LOW_KICK,RAGE_FIST,CLOSE_COMBAT,90.3,85.5,86.2,98,greedent:817;walrein:671;kyurem:668;crustle:665;dondozo:588,cofagrigus:262;grumpig:289;kingdra:333;lunatone:414;dragalge:431
crustle_shadow,Crustle (Shadow),92.4,155,172.8,150,4022,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER,91.1,97.2,97.6,64.6,grumpig:786;kingdra:756;walrein:626;greedent:566;kyurem:516,annihilape:118;lunatone:334;dondozo:362;dragalge:462;cofagrigus:482
milotic,Milotic,92.2,145.1,172.6,171,4285,DRAGON_TAIL,AQUA_TAIL,WRAP,91.8,86.9,85.2,93,crustle:616;lunatone:593;kyurem:552;walrein:549;dondozo:529,golisopod:340;grumpig:412;greedent:445;kingdra:450;annihilape:450
golisopod,Golisopod,92,160.4,171.9,141,3889,FURY_CUTTER,X_SCISSOR,AQUA_JET,92.1,92.3,89.7,88,grumpig:741;walrein:734;greedent:620;crustle:588;dondozo:549,articuno:296;dragalge:309;annihilape:348;kingdra:401;kyurem:414
gourgeist_average,Gourgeist (Average),92,149.5,189.6,147,4168,HEX,SHADOW_BALL,FOUL_PLAY,93.4,83.1,91.1,94,grumpig:833;annihilape:748;dondozo:632;kingdra:540;crustle:506,miltank:255;articuno:290;kyurem:332;walrein:335;greedent:497
miltank,Miltank,92,136.1,173.1,194,4571,ROLLOUT,BODY_SLAM,ICE_BEAM,89.9,79.5,88,95.2,kyurem:582;walrein:574;greedent:533;cofagrigus:520;dragalge:505,annihilape:60;grumpig:336;kingdra:382;dondozo:388;crustle:453
kyurem,Kyurem,91.9,170.9,121.2,176,3648,DRAGON_BREATH,GLACIATE,DRAGON_CLAW,94.7,93.2,89.7,81.3,dragalge:693;greedent:670;cofagrigus:599;kingdra:588;grumpig:545,annihilape:331;dondozo:360;lunatone:395;walrein:410;crustle:440
blastoise,Blastoise,91.8,143.9,181.5,166,4338,ROLLOUT,HYDRO_CANNON,SKULL_BASH,90.7,86,91.4,91.7,dondozo:686;walrein:596;crustle:593;kyurem:575;lunatone:563,kingdra:218;annihilape:298;grumpig:447;greedent:454;cofagrigus:492
aurorus,Aurorus,91.7,145.8,136.5,214,4262,POWDER_SNOW,WEATHER_BALL_ICE,METEOR_BEAM,91.5,83.2,89.4,93,kyurem:822;kingdra:747;dragalge:626;walrein:553;lunatone:535,grumpig:190;crustle:283;dondozo:288;annihilape:292;greedent:380
lugia,Lugia,91.7,132.2,215.7,164,4679,DRAGON_TAIL,AEROBLAST,FLY,90.5,73.5,95,88.5,kingdra:621;dondozo:603;greedent:594;annihilape:591;crustle:512,cofagrigus:133;lunatone:273;walrein:292;articuno:350;grumpig:497
goodra,Goodra,91.6,153.2,175,151,4051,DRAGON_BREATH,AQUA_TAIL,THUNDER_PUNCH,92.6,89.2,86.7,91.7,grumpig:605;milotic:582;greedent:539;cofagrigus:539;dondozo:506,walrein:322;kyurem:329;crustle:423;kingdra:437;annihilape:461
lunatone,Lunatone,91.6,157.2,139,181,3959,PSYWAVE,WEATHER_BALL_ICE,ROCK_SLIDE,93.5,93,88.6,87.3,articuno:668;dragalge:646;kyurem:604;annihilape:585;grumpig:511,dondozo:302;greedent:332;kingdra:392;walrein:462;crustle:490
slowbro,Slowbro,91.5,146.5,156.2,186,4259,CONFUSION,SURF,DRAIN_PUNCH,91.9,83.4,83.3,96.2,walrein:747;dondozo:634;kingdra:607;crustle:553;annihilape:545,cofagrigus:197;golisopod:237;grumpig:336;lunatone:475;greedent:480
dragalge,Dragalge,91.4,151.1,185.4,147,4121,DRAGON_TAIL,AQUA_TAIL,OUTRAGE,91.1,76.8,91.1,92.7,golisopod:690;annihilape:568;crustle:561;cofagrigus:554;dondozo:510,walrein:182;kyurem:306;kingdra:333;lunatone:353;grumpig:432
kommo_o,Kommo-o,91.3,159.7,178.1,137,3899,DRAGON_TAIL,CLANGING_SCALES,UPPER_HAND,90.5,85.4,96,76.3,dragalge:671;annihilape:667;greedent:638;crustle:627;kingdra:529,walrein:142;lunatone:176;grumpig:242;kyurem:275;dondozo:421
annihilape_shadow,Annihilape (Shadow),91,159,135.7,181,3907,LOW_KICK,RAGE_FIST,CLOSE_COMBAT,92.3,88.3,85.7,89.5,crustle:881;greedent:779;kyurem:765;kingdra:720;walrein:610,dragalge:282;cofagrigus:309;grumpig:345;dondozo:469;lunatone:486
runerigus,Runerigus,91,146.6,208.6,139,4251,SHADOW_CLAW,ROCK_TOMB,SHADOW_BALL,92.4,85.2,90.4,84,lunatone:672;grumpig:597;crustle:597;annihilape:568;kingdra:517,dondozo:302;greedent:302;walrein:385;dragalge:391;kyurem:400
tentacruel,Tentacruel,90.9,141.1,185.1,169,4417,ACID,SCALD,PAYBACK,89.5,85.4,93.3,82.5,dondozo:665;articuno:627;golisopod:594;walrein:553;kyurem:541,greedent:363;annihilape:403;kingdra:424;crustle:473;grumpig:494
gourgeist_super,Gourgeist (Super),90.8,147.4,170.4,168,4223,HEX,SHADOW_BALL,FOUL_PLAY,92.4,82.9,90.4,92,annihilape:761;grumpig:732;lunatone:636;dondozo:604;greedent:502,articuno:287;walrein:332;kyurem:357;kingdra:379;crustle:393
milotic_shadow,Milotic (Shadow),90.8,145.1,172.6,171,4285,DRAGON_TAIL,AQUA_TAIL,WRAP,90.8,88.3,86,88,kyurem:777;annihilape:628;walrein:625;dondozo:581;lunatone:564,greedent:389;crustle:396;kingdra:441;dragalge:476;grumpig:491
walrein,Walrein,90.8,145.4,147.7,200,4297,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE,91,84.4,91.3,87.3,dragalge:817;kyurem:590;lunatone:537;kingdra:535;grumpig:530,golisopod:265;crustle:303;annihilape:328;dondozo:456;greedent:489
