speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
skrelp,Skrelp,95.9,64,70.2,85,383,ACID,AQUA_TAIL,SLUDGE_BOMB,64.5,67.3,55.1,60.2,ducklett:735;litwick:676;pumpkaboo_super:623;dewpider:594;foongus:535,slowpoke_shadow:213;frillish:329;shellos:359;binacle:397;fomantis:455
ducklett,Ducklett,93,57.5,71.3,106,435,WING_ATTACK,BRAVE_BIRD,AERIAL_ACE,94.5,97.8,74.5,84.3,dewpider:683;cottonee:655;slowpoke_shadow:627;foongus:599;frillish:556,skrelp:264;fomantis:394;pumpkaboo_super:429;litwick:449;carvanha_shadow:462
carvanha_shadow,Carvanha (Shadow),89.9,101.4,30.6,79,245,BITE,AQUA_JET,POISON_FANG,77.7,58.6,58.7,75.7,frillish:829;slowpoke_shadow:822;pumpkaboo_super:715;litwick:696;ducklett:537,cottonee:93;dewpider:217;fomantis:400;binacle:451;skrelp:494
fomantis,Fomantis,89.4,71.5,53.6,90,345,FURY_CUTTER,LEAF_BLADE,TRAILBLAZE,66.6,51.3,56.8,46.3,frillish:761;ducklett:605;slowpoke_shadow:594;skrelp:544;pumpkaboo_super:527,dewpider:157;ducklett_shadow:183;litwick:342;cottonee:380;foongus:435
pumpkaboo_super,Pumpkaboo (Super),88.9,64.6,69.9,85,385,ASTONISH,GRASS_KNOT,FOUL_PLAY,60.5,52.8,59.9,51,frillish:711;binacle:711;slowpoke_shadow:664;ducklett:570;dewpider:517,carvanha_shadow:284;foongus:325;skrelp:376;cottonee:427;fomantis:472
foongus,Foongus,88.6,60.9,61.5,109,409,ASTONISH,BODY_SLAM,GRASS_KNOT,61.5,62,64,52,pumpkaboo_super:674;litwick:642;fomantis:564;dewpider:545;frillish:545,binacle:355;carvanha_shadow:379;ducklett:400;slowpoke_shadow:414;skrelp:464
frillish,Frillish,87.6,62.6,77,82,396,HEX,NIGHT_SHADE,ICE_BEAM,48.9,52,49.9,49.6,tentacool:719;skrelp:670;slowpoke_shadow:628;binacle:579;cottonee:554,pumpkaboo_super:288;litwick:325;dewpider:391;ducklett:443;foongus:454
dewpider,Dewpider,87.3,54.6,90.6,92,456,BUG_BITE,MIRROR_COAT,BUBBLE_BEAM,71.9,72.7,59.7,64.9,fomantis:842;carvanha_shadow:782;slowpoke_shadow:706;frillish:608;binacle:597,ducklett:316;litwick:348;skrelp:405;foongus:454;pumpkaboo_super:482
pumpkaboo_average,Pumpkaboo (Average),87.3,67.3,72.5,76,371,ASTONISH,GRASS_KNOT,FOUL_PLAY,58.9,49.3,57.3,48,tentacool:756;frillish:730;binacle:684;slowpoke_shadow:651;ducklett:598,carvanha_shadow:303;dewpider:304;foongus:307;skrelp:376;fomantis:472
foongus_shadow,Foongus (Shadow),87.2,60.9,61.5,109,409,ASTONISH,GRASS_KNOT,BODY_SLAM,62,63.4,59.4,47,frillish:802;litwick:697;pumpkaboo_super:665;skrelp:564;fomantis:504,slowpoke_shadow:329;dewpider:336;carvanha_shadow:360;binacle:457;ducklett:466
pumpkaboo_large,Pumpkaboo (Large),87.2,65.7,71,81,378,ASTONISH,GRASS_KNOT,FOUL_PLAY,59.5,50.1,57.6,50.1,tentacool:771;frillish:697;binacle:697;slowpoke_shadow:672;ducklett:549,carvanha_shadow:303;dewpider:336;foongus:357;skrelp:376;fomantis:472
pumpkaboo_small,Pumpkaboo (Small),86.5,68.3,73.2,73,366,ASTONISH,GRASS_KNOT,FOUL_PLAY,58.9,48.9,56.9,47.5,chinchou:746;frillish:719;binacle:671;slowpoke_shadow:636;ducklett:582,carvanha_shadow:303;foongus:307;dewpider:342;fomantis:405;skrelp:417
