speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
smeargle,Smeargle,97.8,,,,,LOCK_ON,V_CREATE,LEAF_BLADE,100,100,100,91.1,stunfisk_galarian:774;bastiodon:751;jellicent:848;bronzor:644;shuckle_shadow:614,wobbuffet:338;wynaut:492;wobbuffet_shadow:419;deino:494;altaria:391
wobbuffet,Wobbuffet,91.5,,,,,COUNTER,RETURN,MIRROR_COAT,91.8,82.8,96.8,89.1,stunfisk_galarian:761;bastiodon:819;smeargle:661;bronzor:561;nidoqueen_shadow:561,shuckle_shadow:422;shuckle:434;jellicent:272;marowak_alolan:295;nidorina:494
shuckle_shadow,Shuckle (Shadow),90.2,,,,,ROCK_THROW,STONE_EDGE,ROCK_BLAST,70.5,85,94.5,98.2,jellicent:684;wobbuffet:577;nidoqueen_shadow:732;victreebel_shadow:726;wynaut:630,stunfisk_galarian:352;smeargle:385;bastiodon:300;bronzor:246;marill:496
shuckle,Shuckle,89.7,,,,,ROCK_THROW,STONE_EDGE,ROCK_BLAST,64.7,78.9,93.7,100,wobbuffet:565;jellicent:619;nidoqueen_shadow:559;victreebel_shadow:708;cottonee:678,stunfisk_galarian:219;smeargle:366;bastiodon:287;bronzor:284;marill:386
bronzor,Bronzor,87.4,,,,,CONFUSION,PSYSHOCK,HEAVY_SLAM,77.4,79.3,93.1,88.2,shuckle_shadow:753;shuckle:715;nidoqueen_shadow:846;victreebel_shadow:857;cottonee:796,stunfisk_galarian:352;bastiodon:456;smeargle:355;wobbuffet:438;jellicent:461
marill,Marill,82.6,,,,,BUBBLE,AQUA_TAIL,BODY_SLAM,75.1,79.9,77.6,84.3,stunfisk_galarian:688;bastiodon:636;shuckle:613;shuckle_shadow:503;nidoqueen_shadow:516,smeargle:392;wobbuffet:434;bronzor:334;jellicent:300;cottonee:328
wynaut,Wynaut,82.3,,,,,COUNTER,MIRROR_COAT,,81.3,74.5,82.9,78.5,stunfisk_galarian:737;bastiodon:796;smeargle:507;nidoqueen_shadow:538;victreebel_shadow:626,bronzor:457;shuckle:482;shuckle_shadow:369;wobbuffet:261;jellicent:272
wobbuffet_shadow,Wobbuffet (Shadow),81.5,,,,,COUNTER,MIRROR_COAT,FRUSTRATION,78.9,75.7,83.2,74.3,stunfisk_galarian:702;bastiodon:810;smeargle:580;victreebel_shadow:555;wigglytuff:646,bronzor:434;shuckle:416;shuckle_shadow:363;wobbuffet:346;jellicent:344
cottonee,Cottonee,76.1,,,,,CHARM,GRASS_KNOT,SEED_BOMB,63,70.4,76.1,75.9,stunfisk_galarian:557;jellicent:520;marill:671;wynaut:515;victreebel_shadow:682,bastiodon:375;wobbuffet:474;smeargle:270;shuckle_shadow:357;shuckle:321
scrafty,Scrafty,73.4,,,,,COUNTER,FOUL_PLAY,POWER_UP_PUNCH,71.3,64.1,63.4,58.3,stunfisk_galarian:840;bastiodon:787;jellicent:704;bronzor:537;pachirisu:719,smeargle:451;shuckle_shadow:416;shuckle:386;nidoqueen_shadow:337;wobbuffet:200
stunfisk_galarian,Stunfisk (Galarian),73.2,,,,,MUD_SHOT,ROCK_SLIDE,EARTHQUAKE,74.1,65,71.1,46.1,bastiodon:857;bronzor:647;shuckle:780;shuckle_shadow:647;nidoqueen_shadow:836,smeargle:225;jellicent:322;wobbuffet:238;cottonee:442;marill:311
