speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore
bronzor,Bronzor,98.3,37.6,134.4,130,657,TACKLE,HEAVY_SLAM,PAYBACK,100,100,87,100
wynaut,Wynaut,89.3,38.6,84,194,630,COUNTER,MIRROR_COAT,,83.5,92,73.3,90.7
seel,Seel,87.7,53.8,80.4,106,459,LICK,AQUA_TAIL,ICY_WIND,91.2,83.3,85.2,67.5
zigzagoon_galarian,Zigzagoon (Galarian),87.7,53.7,78.9,108,459,TACKLE,BODY_SLAM,DIG,83.2,93.3,85.3,70.9
vullaby,Vullaby,87.6,57.3,77.8,97,433,FEINT_ATTACK,BRAVE_BIRD,FOUL_PLAY,85.4,61.7,100,59.9
ducklett,Ducklett,87.4,57.5,71.3,106,435,WING_ATTACK,BUBBLE_BEAM,BRAVE_BIRD,94.5,97.8,74.5,84.3
gligar,Gligar,87.1,63.3,82.3,75,392,WING_ATTACK,AERIAL_ACE,DIG,89.8,91.8,84.8,57.8
lickitung,Lickitung,86.5,55.9,75.4,105,444,LICK,BODY_SLAM,POWER_WHIP,91.2,90.5,79.3,59.7
deino,Deino,84.7,69.1,60.6,86,361,DRAGON_BREATH,BODY_SLAM,CRUNCH,86.6,78,70.4,70
wooper_shadow,Wooper (Shadow),84.3,59.6,60.4,116,419,MUD_SHOT,BODY_SLAM,MUD_BOMB,74.6,85.3,78.9,59
wooper,Wooper,84.2,59.6,60.4,116,419,MUD_SHOT,BODY_SLAM,MUD_BOMB,72.7,85.7,80.2,65.1
barboach_shadow,Barboach (Shadow),83.8,64.1,63.4,95,387,MUD_SHOT,MUD_BOMB,AQUA_TAIL,87.7,74.2,75.3,48.4
stunky_shadow,Stunky (Shadow),82.8,69.4,56.9,91,360,BITE,CRUNCH,SLUDGE_BOMB,87.4,79.9,70.9,78.3
vulpix_alolan,Vulpix (Alolan),82.8,63.9,77.3,79,391,POWDER_SNOW,WEATHER_BALL_ICE,DARK_PULSE,72.7,80.6,80.9,52.9
cubone_shadow,Cubone (Shadow),82.1,56,91.4,87,446,MUD_SLAP,BONE_CLUB,DIG,79.6,60.2,85.8,67.7
pawniard,Pawniard,81.6,78,60.3,68,320,FURY_CUTTER,NIGHT_SLASH,IRON_HEAD,82.6,65.5,82.2,44.7
eevee,Eevee,81.5,61.7,71.9,90,400,QUICK_ATTACK,BODY_SLAM,DIG,74.1,96.7,67.1,51.2
wooper_paldean,Wooper (Paldean),81.3,59.6,60.4,116,419,POISON_JAB,BODY_SLAM,DIG,71.3,89.5,69.1,65.8
ledyba_shadow,Ledyba (Shadow),80.6,53.2,91.3,96,467,BUG_BITE,AERIAL_ACE,SILVER_WIND,84.6,71.4,71.7,65.5
wailmer,Wailmer,80.1,67.9,38.5,140,366,WATER_GUN,BODY_SLAM,SCALD,78,73.9,75,60.6
purrloin_shadow,Purrloin (Shadow),79.9,69.4,57.4,90,359,SUCKER_PUNCH,NIGHT_SLASH,DARK_PULSE,80.4,63.6,72,46.3
vulpix_alolan_shadow,Vulpix (Alolan) (Shadow),79.8,63.9,77.3,79,391,POWDER_SNOW,WEATHER_BALL_ICE,DARK_PULSE,72.2,76.4,66.9,47.2
cubone,Cubone,79.4,56,91.4,87,446,MUD_SLAP,BONE_CLUB,DIG,76.8,58.6,82.2,66.3
