speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
azumarill,Azumarill,97.2,,,,,BUBBLE,ICE_BEAM,HYDRO_PUMP,,,,,stunfisk_galarian:706;skarmory:611;altaria:752;bastiodon:730;marowak_alolan:728,abomasnow:343;hypno:475;galvantula:217;tropius:476;cresselia:409
stunfisk_galarian,Stunfisk (Galarian),96.5,,,,,MUD_SHOT,ROCK_SLIDE,EARTHQUAKE,,,,,skarmory:658;altaria:652;bastiodon:916;galvantula:805;marowak_alolan:616,azumarill:293;swampert:492;whiscash:380;toxicroak:379;obstagoon:394
machamp_shadow,Machamp (Shadow),93.7,,,,,COUNTER,CROSS_CHOP,ROCK_SLIDE,,,,,stunfisk_galarian:836;skarmory:516;altaria:516;bastiodon:800;umbreon:911,azumarill:388;galvantula:487;toxicroak:472;abomasnow:482;deoxys_defense:407
abomasnow_shadow,Abomasnow (Shadow),92.9,,,,,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,,,,,azumarill:581;stunfisk_galarian:567;altaria:741;whiscash:797;swampert:723,skarmory:408;galvantula:491;umbreon:442;bastiodon:265;deoxys_defense:350
deoxys_defense,Deoxys (Defense),92.5,,,,,COUNTER,ROCK_SLIDE,THUNDERBOLT,,,,,skarmory:613;bastiodon:726;toxicroak:628;abomasnow:675;obstagoon:706,azumarill:491;stunfisk_galarian:431;altaria:397;galvantula:495;marowak_alolan:379
sirfetchd,Sirfetchd,92.1,,,,,COUNTER,LEAF_BLADE,CLOSE_COMBAT,,,,,stunfisk_galarian:838;skarmory:536;bastiodon:812;umbreon:869;whiscash:838,azumarill:404;altaria:397;toxicroak:480;abomasnow:450;marowak_alolan:266
scrafty,Scrafty,92,,,,,COUNTER,FOUL_PLAY,POWER_UP_PUNCH,,,,,stunfisk_galarian:600;bastiodon:855;umbreon:798;marowak_alolan:583;swampert:679,azumarill:320;skarmory:379;altaria:273;galvantula:364;toxicroak:298
swampert,Swampert,92,,,,,MUD_SHOT,HYDRO_CANNON,SLUDGE_WAVE,,,,,skarmory:738;stunfisk_galarian:507;marowak_alolan:867;bastiodon:812;galvantula:533,azumarill:442;altaria:277;umbreon:391;whiscash:328;meganium:496
swampert_shadow,Swampert (Shadow),91.8,,,,,MUD_SHOT,HYDRO_CANNON,SLUDGE_WAVE,,,,,stunfisk_galarian:875;skarmory:665;marowak_alolan:863;bastiodon:775;toxicroak:665,azumarill:478;altaria:321;galvantula:475;whiscash:388;obstagoon:405
registeel,Registeel,91.6,,,,,LOCK_ON,FLASH_CANNON,FOCUS_BLAST,,,,,skarmory:679;altaria:574;bastiodon:843;abomasnow:812;umbreon:570,azumarill:483;stunfisk_galarian:422;galvantula:319;deoxys_defense:391;marowak_alolan:278
mantine,Mantine,91.4,,,,,BUBBLE,BUBBLE_BEAM,ICE_BEAM,,,,,stunfisk_galarian:579;skarmory:604;altaria:737;marowak_alolan:725;toxicroak:770,azumarill:472;bastiodon:371;deoxys_defense:422;galvantula:266;abomasnow:375
abomasnow,Abomasnow,91.3,,,,,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,,,,,azumarill:656;altaria:804;whiscash:815;stunfisk:812;shiftry:741,stunfisk_galarian:446;skarmory:320;galvantula:405;toxicroak:472;swampert:419
dewgong,Dewgong,91.3,,,,,ICE_SHARD,ICY_WIND,WATER_PULSE,,,,,azumarill:636;skarmory:597;altaria:766;umbreon:613;whiscash:626,stunfisk_galarian:467;marowak_alolan:463;abomasnow:457;galvantula:278;deoxys_defense:365
bastiodon,Bastiodon,91.2,,,,,SMACK_DOWN,STONE_EDGE,FLAMETHROWER,,,,,skarmory:856;altaria:772;galvantula:746;marowak_alolan:571;abomasnow:738,azumarill:269;shiftry:486;stunfisk_galarian:83;deoxys_defense:273;obstagoon:282
machamp,Machamp,91.2,,,,,COUNTER,CROSS_CHOP,ROCK_SLIDE,,,,,stunfisk_galarian:876;skarmory:580;altaria:516;bastiodon:828;umbreon:652,azumarill:358;marowak_alolan:463;galvantula:409;whiscash:420;toxicroak:422
altaria,Altaria,91.1,,,,,DRAGON_BREATH,SKY_ATTACK,DRAGON_PULSE,,,,,marowak_alolan:678;galvantula:594;swampert:722;toxicroak:569;deoxys_defense:602,skarmory:429;stunfisk_galarian:347;azumarill:247;umbreon:404;whiscash:311
cresselia,Cresselia,90.8,,,,,PSYCHO_CUT,GRASS_KNOT,MOONBLAST,,,,,azumarill:590;whiscash:708;swampert:773;toxicroak:664;deoxys_defense:571,stunfisk_galarian:380;skarmory:312;altaria:459;umbreon:471;marowak_alolan:379
meganium,Meganium,90.7,,,,,VINE_WHIP,FRENZY_PLANT,EARTHQUAKE,,,,,azumarill:893;stunfisk_galarian:744;bastiodon:698;whiscash:820;umbreon:576,skarmory:258;galvantula:348;altaria:197;toxicroak:387;obstagoon:478
umbreon,Umbreon,90.7,,,,,SNARL,FOUL_PLAY,LAST_RESORT,,,,,skarmory:509;altaria:595;marowak_alolan:738;whiscash:592;swampert:608,azumarill:317;stunfisk_galarian:377;bastiodon:481;galvantula:483;toxicroak:333
venusaur,Venusaur,90.4,,,,,VINE_WHIP,FRENZY_PLANT,SLUDGE_BOMB,,,,,azumarill:844;bastiodon:642;umbreon:672;whiscash:684;swampert:689,stunfisk_galarian:410;skarmory:216;galvantula:475;altaria:302;toxicroak:461
tropius,Tropius,90.3,,,,,RAZOR_LEAF,LEAF_BLADE,AERIAL_ACE,,,,,azumarill:523;stunfisk_galarian:547;whiscash:973;swampert:979;umbreon:636,skarmory:179;bastiodon:397;galvantula:397;marowak_alolan:310;obstagoon:467
primeape,Primeape,90.2,,,,,COUNTER,NIGHT_SLASH,CLOSE_COMBAT,,,,,stunfisk_galarian:700;skarmory:543;bastiodon:786;galvantula:630;umbreon:752,azumarill:353;altaria:379;marowak_alolan:354;deoxys_defense:396;hypno:327
hitmontop,Hitmontop,89.9,,,,,COUNTER,CLOSE_COMBAT,STONE_EDGE,,,,,stunfisk_galarian:705;skarmory:615;bastiodon:804;umbreon:720;whiscash:635,azumarill:282;altaria:372;deoxys_defense:427;galvantula:315;toxicroak:306
medicham,Medicham,89.6,,,,,COUNTER,ICE_PUNCH,PSYCHIC,,,,,stunfisk_galarian:611;bastiodon:847;galvantula:570;whiscash:611;umbreon:578,azumarill:347;skarmory:416;altaria:408;toxicroak:437;deoxys_defense:396
castform_snowy,Castform (Snowy),89.2,,,,,POWDER_SNOW,WEATHER_BALL_ICE,BLIZZARD,,,,,skarmory:755;altaria:810;whiscash:724;galvantula:565;umbreon:572,stunfisk_galarian:476;azumarill:307;toxicroak:441;bastiodon:318;marowak_alolan:193
vigoroth,Vigoroth,89.2,,,,,COUNTER,BODY_SLAM,BULLDOZE,,,,,stunfisk_galarian:694;bastiodon:718;umbreon:666;swampert:621;whiscash:534,azumarill:375;skarmory:383;altaria:437;marowak_alolan:427;galvantula:389
castform_rainy,Castform (Rainy),89.1,,,,,WATER_GUN,WEATHER_BALL_WATER,THUNDER,,,,,azumarill:610;stunfisk_galarian:706;skarmory:562;bastiodon:682;marowak_alolan:655,altaria:306;umbreon:414;deoxys_defense:427;galvantula:299;obstagoon:496
